0 ('/bokeh/models/transforms.py', 'module_initializer', 'log')
2803 ('/sphinx/source/docs/user_guide/examples/categorical_bar_colormapped.py', 'module_initializer', 'source')
2804 ('/sphinx/source/docs/user_guide/examples/categorical_bar_colormapped.py', 'module_initializer', 'p')
2805 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'cats')
2806 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'p')
2807 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'alpha')
2808 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'fill_color')
2809 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'fill_color_alpha')
2810 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'line_color')
2811 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'line_color_alpha')
2812 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'fill')
2813 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'line')
2814 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'combinations')
2815 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'comb')
2816 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'x')
2817 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'fill_options')
2818 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'y')
2819 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'line_options')
2820 ('/sphinx/source/docs/user_guide/examples/styling_specifying_colors.py', 'module_initializer', 'options')
2821 ('/sphinx/source/docs/user_guide/examples/styling_bounds.py', 'module_initializer', 'p')
2822 ('/sphinx/source/docs/user_guide/examples/plotting_scatter_square.py', 'module_initializer', 'p')
2823 ('/sphinx/source/docs/user_guide/examples/plotting_title_location.py', 'module_initializer', 'p')
2824 ('/sphinx/source/docs/user_guide/examples/plotting_label.py', 'module_initializer', 'source')
2825 ('/sphinx/source/docs/user_guide/examples/plotting_label.py', 'module_initializer', 'p')
2826 ('/sphinx/source/docs/user_guide/examples/plotting_label.py', 'module_initializer', 'labels')
2827 ('/sphinx/source/docs/user_guide/examples/plotting_label.py', 'module_initializer', 'citation')
2828 ('/sphinx/source/docs/user_guide/examples/categorical_scatter_jitter.py', 'module_initializer', 'DAYS')
2829 ('/sphinx/source/docs/user_guide/examples/categorical_scatter_jitter.py', 'module_initializer', 'source')
2830 ('/sphinx/source/docs/user_guide/examples/categorical_scatter_jitter.py', 'module_initializer', 'p')
2831 ('/bokeh/sampledata/commits.py', 'module_initializer', 'log')
2832 ('/bokeh/sampledata/commits.py', 'module_initializer', '__all__')
2833 ('/bokeh/sampledata/commits.py', 'module_initializer', 'data')
2834 ('/sphinx/source/docs/user_guide/examples/interaction_fileinput.py', 'module_initializer', 'file_input')
2835 ('/sphinx/source/docs/user_guide/examples/styling_legend_background.py', 'module_initializer', 'x')
2836 ('/sphinx/source/docs/user_guide/examples/styling_legend_background.py', 'module_initializer', 'y')
2837 ('/sphinx/source/docs/user_guide/examples/styling_legend_background.py', 'module_initializer', 'p')
2838 ('/sphinx/source/docs/user_guide/examples/plotting_line_multiple.py', 'module_initializer', 'p')
2839 ('/sphinx/source/docs/user_guide/examples/plotting_hex_tile_basic.py', 'module_initializer', 'q')
2840 ('/sphinx/source/docs/user_guide/examples/plotting_hex_tile_basic.py', 'module_initializer', 'r')
2841 ('/sphinx/source/docs/user_guide/examples/plotting_hex_tile_basic.py', 'module_initializer', 'p')
2842 ('/sphinx/source/docs/user_guide/examples/plotting_hex_tile_basic.py', 'module_initializer', 'x')
2843 ('/sphinx/source/docs/user_guide/examples/plotting_hex_tile_basic.py', 'module_initializer', 'y')
2844 ('/sphinx/source/docs/user_guide/examples/categorical_bar_mixed.py', 'module_initializer', 'factors')
2845 ('/sphinx/source/docs/user_guide/examples/categorical_bar_mixed.py', 'module_initializer', 'p')
2846 ('/sphinx/source/docs/user_guide/examples/categorical_bar_mixed.py', 'module_initializer', 'x')
2847 ('/sphinx/source/docs/user_guide/examples/plotting_line_steps.py', 'module_initializer', 'p')
2848 ('/sphinx/source/docs/user_guide/examples/interaction_textinput.py', 'module_initializer', 'text_input')
2849 ('/sphinx/source/docs/user_guide/examples/plotting_patch_single.py', 'module_initializer', 'p')
2850 ('/sphinx/source/docs/user_guide/examples/styling_tick_lines.py', 'module_initializer', 'p')
2851 ('/sphinx/source/docs/user_guide/examples/extensions_putting_together_ts.py', 'module_initializer', 'CODE')
2852 ('/sphinx/source/docs/user_guide/examples/extensions_putting_together_ts.py', 'module_initializer', 'slider')
2853 ('/sphinx/source/docs/user_guide/examples/extensions_putting_together_ts.py', 'module_initializer', 'custom')
2854 ('/sphinx/source/docs/user_guide/examples/extensions_putting_together_ts.py', 'module_initializer', 'layout')
2855 ('/sphinx/source/docs/user_guide/examples/extensions_putting_together_ts.py', 'Custom_class_initializer', '__implementation__')
2856 ('/sphinx/source/docs/user_guide/examples/extensions_putting_together_ts.py', 'Custom_class_initializer', 'text')
2857 ('/sphinx/source/docs/user_guide/examples/extensions_putting_together_ts.py', 'Custom_class_initializer', 'slider')
2858 ('/sphinx/source/docs/user_guide/examples/extensions_putting_together_ts.py', 'Custom_class_initializer', 'margin')
2859 ('/sphinx/source/docs/user_guide/examples/plotting_title_visuals.py', 'module_initializer', 'p')
2860 ('/sphinx/source/docs/user_guide/examples/plotting_legends_multi_index.py', 'module_initializer', 'p')
2861 ('/sphinx/source/docs/user_guide/examples/plotting_legends_multi_index.py', 'module_initializer', 'r')
2862 ('/sphinx/source/docs/user_guide/examples/plotting_legends_multi_index.py', 'module_initializer', 'legend')
2863 ('/sphinx/source/docs/user_guide/examples/plotting_wedge.py', 'module_initializer', 'p')
2864 ('/sphinx/source/docs/user_guide/examples/interaction_div.py', 'module_initializer', 'div')
2865 ('/sphinx/source/docs/user_guide/examples/styling_glyph_selections_plotting_params.py', 'module_initializer', 'plot')
2866 ('/sphinx/source/docs/user_guide/examples/styling_glyph_selections_plotting_params.py', 'module_initializer', 'renderer')
2867 ('/sphinx/source/docs/user_guide/examples/plotting_multipolygons.py', 'module_initializer', 'p')
2868 ('/sphinx/source/docs/user_guide/examples/plotting_varea_stack.py', 'module_initializer', 'source')
2869 ('/sphinx/source/docs/user_guide/examples/plotting_varea_stack.py', 'module_initializer', 'p')
2870 ('/sphinx/source/docs/user_guide/examples/plotting_legend_label.py', 'module_initializer', 'x')
2871 ('/sphinx/source/docs/user_guide/examples/plotting_legend_label.py', 'module_initializer', 'y')
2872 ('/sphinx/source/docs/user_guide/examples/plotting_legend_label.py', 'module_initializer', 'p')
2873 ('/sphinx/source/docs/user_guide/examples/plotting_ray.py', 'module_initializer', 'p')
2874 ('/sphinx/source/docs/user_guide/examples/plotting_patch_missing_points.py', 'module_initializer', 'p')
2875 ('/sphinx/source/docs/user_guide/examples/plotting_patch_missing_points.py', 'module_initializer', 'nan')
2876 ('/sphinx/source/docs/user_guide/examples/interaction_linked_panning.py', 'module_initializer', 'x')
2877 ('/sphinx/source/docs/user_guide/examples/interaction_linked_panning.py', 'module_initializer', 'y0')
2878 ('/sphinx/source/docs/user_guide/examples/interaction_linked_panning.py', 'module_initializer', 'xx')
2879 ('/sphinx/source/docs/user_guide/examples/interaction_linked_panning.py', 'module_initializer', 'y1')
2880 ('/sphinx/source/docs/user_guide/examples/interaction_linked_panning.py', 'module_initializer', 'y2')
2881 ('/sphinx/source/docs/user_guide/examples/interaction_linked_panning.py', 'module_initializer', 's1')
2882 ('/sphinx/source/docs/user_guide/examples/interaction_linked_panning.py', 'module_initializer', 's2')
2883 ('/sphinx/source/docs/user_guide/examples/interaction_linked_panning.py', 'module_initializer', 's3')
2884 ('/sphinx/source/docs/user_guide/examples/interaction_linked_panning.py', 'module_initializer', 'p')
2885 ('/sphinx/source/docs/user_guide/examples/extensions_example_ticking.py', 'module_initializer', 'TS_CODE')
2886 ('/sphinx/source/docs/user_guide/examples/extensions_example_ticking.py', 'module_initializer', 'p')
2887 ('/sphinx/source/docs/user_guide/examples/extensions_example_ticking.py', 'MyFormatter_class_initializer', '__implementation__')
2888 ('/sphinx/source/docs/user_guide/examples/interaction_toggle_button.py', 'module_initializer', 'toggle')
2889 ('/sphinx/source/docs/user_guide/examples/plotting_whisker.py', 'module_initializer', 'colors')
2890 ('/sphinx/source/docs/user_guide/examples/plotting_whisker.py', 'module_initializer', 'p')
2891 ('/sphinx/source/docs/user_guide/examples/plotting_whisker.py', 'module_initializer', 'base')
2892 ('/sphinx/source/docs/user_guide/examples/plotting_whisker.py', 'module_initializer', 'lower')
2893 ('/sphinx/source/docs/user_guide/examples/plotting_whisker.py', 'module_initializer', 'upper')
2894 ('/sphinx/source/docs/user_guide/examples/plotting_whisker.py', 'module_initializer', 'i')
2895 ('/sphinx/source/docs/user_guide/examples/plotting_whisker.py', 'module_initializer', 'year')
2896 ('/sphinx/source/docs/user_guide/examples/plotting_whisker.py', 'module_initializer', 'year_mpgs')
2897 ('/sphinx/source/docs/user_guide/examples/plotting_whisker.py', 'module_initializer', 'mpgs_mean')
2898 ('/sphinx/source/docs/user_guide/examples/plotting_whisker.py', 'module_initializer', 'mpgs_std')
2899 ('/sphinx/source/docs/user_guide/examples/plotting_whisker.py', 'module_initializer', 'source_error')
2900 ('/sphinx/source/docs/user_guide/examples/plotting_whisker.py', 'module_initializer', 'y')
2901 ('/sphinx/source/docs/user_guide/examples/plotting_whisker.py', 'module_initializer', 'color')
2902 ('/sphinx/source/docs/user_guide/examples/plotting_legend_group.py', 'module_initializer', 'c1')
2903 ('/sphinx/source/docs/user_guide/examples/plotting_legend_group.py', 'module_initializer', 'c2')
2904 ('/sphinx/source/docs/user_guide/examples/plotting_legend_group.py', 'module_initializer', 'source')
2905 ('/sphinx/source/docs/user_guide/examples/plotting_legend_group.py', 'module_initializer', 'p')
2906 ('/sphinx/source/docs/user_guide/examples/styling_fixed_ticker.py', 'module_initializer', 'p')
2907 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'module_initializer', 'x')
2908 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'module_initializer', 'y')
2909 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'module_initializer', 'source')
2910 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'module_initializer', 'plot')
2911 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'module_initializer', 'callback_single')
2912 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'module_initializer', 'callback_ion')
2913 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'module_initializer', 'slider')
2914 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'module_initializer', 'ion_range_slider')
2915 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'module_initializer', 'layout')
2916 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'IonRangeSlider_class_initializer', '__implementation__')
2917 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'IonRangeSlider_class_initializer', '__javascript__')
2918 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'IonRangeSlider_class_initializer', '__css__')
2919 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'IonRangeSlider_class_initializer', 'disable')
2920 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'IonRangeSlider_class_initializer', 'grid')
2921 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'IonRangeSlider_class_initializer', 'start')
2922 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'IonRangeSlider_class_initializer', 'end')
2923 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'IonRangeSlider_class_initializer', 'range')
2924 ('/sphinx/source/docs/user_guide/examples/extensions_example_widget.py', 'IonRangeSlider_class_initializer', 'step')
2925 ('/sphinx/source/docs/user_guide/examples/interaction_radio_button_group.py', 'module_initializer', 'radio_button_group')
2926 ('/sphinx/source/docs/user_guide/examples/data_linked_brushing_subsets.py', 'module_initializer', 'x')
2927 ('/sphinx/source/docs/user_guide/examples/data_linked_brushing_subsets.py', 'module_initializer', 'xx')
2928 ('/sphinx/source/docs/user_guide/examples/data_linked_brushing_subsets.py', 'module_initializer', 'y0')
2929 ('/sphinx/source/docs/user_guide/examples/data_linked_brushing_subsets.py', 'module_initializer', 'y1')
2930 ('/sphinx/source/docs/user_guide/examples/data_linked_brushing_subsets.py', 'module_initializer', 'source')
2931 ('/sphinx/source/docs/user_guide/examples/data_linked_brushing_subsets.py', 'module_initializer', 'y')
2932 ('/sphinx/source/docs/user_guide/examples/data_linked_brushing_subsets.py', 'module_initializer', 'view')
2933 ('/sphinx/source/docs/user_guide/examples/data_linked_brushing_subsets.py', 'module_initializer', 'TOOLS')
2934 ('/sphinx/source/docs/user_guide/examples/data_linked_brushing_subsets.py', 'module_initializer', 'left')
2935 ('/sphinx/source/docs/user_guide/examples/data_linked_brushing_subsets.py', 'module_initializer', 'right')
2936 ('/sphinx/source/docs/user_guide/examples/data_linked_brushing_subsets.py', 'module_initializer', 'p')
2937 ('/sphinx/source/docs/user_guide/examples/plotting_color_bars.py', 'module_initializer', 'X')
2938 ('/sphinx/source/docs/user_guide/examples/plotting_color_bars.py', 'module_initializer', 'Y')
2939 ('/sphinx/source/docs/user_guide/examples/plotting_color_bars.py', 'module_initializer', 'Z')
2940 ('/sphinx/source/docs/user_guide/examples/plotting_color_bars.py', 'module_initializer', 'image')
2941 ('/sphinx/source/docs/user_guide/examples/plotting_color_bars.py', 'module_initializer', 'color_mapper')
2942 ('/sphinx/source/docs/user_guide/examples/plotting_color_bars.py', 'module_initializer', 'plot')
2943 ('/sphinx/source/docs/user_guide/examples/plotting_color_bars.py', 'module_initializer', 'color_bar')
2944 ('/sphinx/source/docs/user_guide/examples/plotting_multipolygon_simple.py', 'module_initializer', 'p')
2945 ('/sphinx/source/docs/user_guide/examples/plotting_hex_tile_binning.py', 'module_initializer', 'n')
2946 ('/sphinx/source/docs/user_guide/examples/plotting_hex_tile_binning.py', 'module_initializer', 'x')
2947 ('/sphinx/source/docs/user_guide/examples/plotting_hex_tile_binning.py', 'module_initializer', 'y')
2948 ('/sphinx/source/docs/user_guide/examples/plotting_hex_tile_binning.py', 'module_initializer', 'bins')
2949 ('/sphinx/source/docs/user_guide/examples/plotting_hex_tile_binning.py', 'module_initializer', 'p')
2950 ('/sphinx/source/docs/user_guide/examples/layout_grid_convenient.py', 'module_initializer', 'x')
2951 ('/sphinx/source/docs/user_guide/examples/layout_grid_convenient.py', 'module_initializer', 'y0')
2952 ('/sphinx/source/docs/user_guide/examples/layout_grid_convenient.py', 'module_initializer', 'i')
2953 ('/sphinx/source/docs/user_guide/examples/layout_grid_convenient.py', 'module_initializer', 'y1')
2954 ('/sphinx/source/docs/user_guide/examples/layout_grid_convenient.py', 'module_initializer', 'y2')
2955 ('/sphinx/source/docs/user_guide/examples/layout_grid_convenient.py', 'module_initializer', 's1')
2956 ('/sphinx/source/docs/user_guide/examples/layout_grid_convenient.py', 'module_initializer', 's2')
2957 ('/sphinx/source/docs/user_guide/examples/layout_grid_convenient.py', 'module_initializer', 's3')
2958 ('/sphinx/source/docs/user_guide/examples/layout_grid_convenient.py', 'module_initializer', 'grid')
2959 ('/sphinx/source/docs/user_guide/examples/plotting_title_toolbar.py', 'module_initializer', 'p')
2960 ('/sphinx/source/docs/user_guide/examples/categorical_bar_stacked_hover.py', 'module_initializer', 'fruits')
2961 ('/sphinx/source/docs/user_guide/examples/categorical_bar_stacked_hover.py', 'module_initializer', 'years')
2962 ('/sphinx/source/docs/user_guide/examples/categorical_bar_stacked_hover.py', 'module_initializer', 'colors')
2963 ('/sphinx/source/docs/user_guide/examples/categorical_bar_stacked_hover.py', 'module_initializer', 'data')
2964 ('/sphinx/source/docs/user_guide/examples/categorical_bar_stacked_hover.py', 'module_initializer', 'p')
2965 ('/sphinx/source/docs/user_guide/examples/plotting_line_missing_points.py', 'module_initializer', 'p')
2966 ('/sphinx/source/docs/user_guide/examples/plotting_line_missing_points.py', 'module_initializer', 'nan')
2967 ('/bokeh/sampledata/haar_cascade.py', 'module_initializer', 'log')
2968 ('/bokeh/sampledata/haar_cascade.py', 'module_initializer', '__all__')
2969 ('/bokeh/sampledata/haar_cascade.py', 'module_initializer', 'frontalface_default_path')
2970 ('/bokeh/sampledata/periodic_table.py', 'module_initializer', 'log')
2971 ('/bokeh/sampledata/periodic_table.py', 'module_initializer', '__all__')
2972 ('/bokeh/sampledata/periodic_table.py', 'module_initializer', 'elements')
2973 ('/bokeh/sampledata/sample_geojson.py', 'module_initializer', 'log')
2974 ('/bokeh/sampledata/sample_geojson.py', 'module_initializer', '__all__')
2975 ('/bokeh/sampledata/sample_geojson.py', 'module_initializer', 'geojson')
2976 ('/bokeh/sampledata/les_mis.py', 'module_initializer', 'log')
2977 ('/bokeh/sampledata/les_mis.py', 'module_initializer', '__all__')
2978 ('/bokeh/sampledata/les_mis.py', 'module_initializer', 'data')
2979 ('/bokeh/sampledata/us_counties.py', 'module_initializer', 'log')
2980 ('/bokeh/sampledata/us_counties.py', 'module_initializer', '__all__')
2981 ('/bokeh/sampledata/us_counties.py', 'module_initializer', 'data')
2982 ('/bokeh/sampledata/gapminder.py', 'module_initializer', 'log')
2983 ('/bokeh/sampledata/gapminder.py', 'module_initializer', '__all__')
2984 ('/bokeh/sampledata/gapminder.py', 'module_initializer', 'fertility')
2985 ('/bokeh/sampledata/gapminder.py', 'module_initializer', 'life_expectancy')
2986 ('/bokeh/sampledata/gapminder.py', 'module_initializer', 'population')
2987 ('/bokeh/sampledata/gapminder.py', 'module_initializer', 'regions')
2988 ('/bokeh/sampledata/world_cities.py', 'module_initializer', 'log')
2989 ('/bokeh/sampledata/world_cities.py', 'module_initializer', '__all__')
2990 ('/bokeh/sampledata/world_cities.py', 'module_initializer', 'data')
2991 ('/bokeh/sampledata/degrees.py', 'module_initializer', 'log')
2992 ('/bokeh/sampledata/degrees.py', 'module_initializer', '__all__')
2993 ('/bokeh/sampledata/degrees.py', 'module_initializer', 'data')
2994 ('/bokeh/sampledata/olympics2014.py', 'module_initializer', 'log')
2995 ('/bokeh/sampledata/olympics2014.py', 'module_initializer', '__all__')
2996 ('/bokeh/sampledata/olympics2014.py', 'module_initializer', 'data')
2997 ('/bokeh/sampledata/population.py', 'module_initializer', 'log')
2998 ('/bokeh/sampledata/population.py', 'module_initializer', '__all__')
2999 ('/bokeh/sampledata/population.py', 'module_initializer', 'data')
3000 ('/bokeh/sampledata/unemployment.py', 'module_initializer', 'log')
3001 ('/bokeh/sampledata/unemployment.py', 'module_initializer', '__all__')
3002 ('/bokeh/sampledata/unemployment.py', 'module_initializer', 'data')
3003 ('/bokeh/sampledata/__init__.py', 'module_initializer', 'log')
3004 ('/bokeh/sampledata/__init__.py', 'module_initializer', '__all__')
3005 ('/bokeh/sampledata/glucose.py', 'module_initializer', 'log')
3006 ('/bokeh/sampledata/glucose.py', 'module_initializer', '__all__')
3007 ('/bokeh/sampledata/glucose.py', 'module_initializer', 'data')
3008 ('/bokeh/sampledata/perceptions.py', 'module_initializer', 'log')
3009 ('/bokeh/sampledata/perceptions.py', 'module_initializer', '__all__')
3010 ('/bokeh/sampledata/perceptions.py', 'module_initializer', 'numberly')
3011 ('/bokeh/sampledata/perceptions.py', 'module_initializer', 'probly')
3012 ('/bokeh/sampledata/us_holidays.py', 'module_initializer', 'log')
3013 ('/bokeh/sampledata/us_holidays.py', 'module_initializer', '__all__')
3014 ('/bokeh/sampledata/us_holidays.py', 'module_initializer', 'us_holidays')
3015 ('/bokeh/sampledata/us_states.py', 'module_initializer', 'log')
3016 ('/bokeh/sampledata/us_states.py', 'module_initializer', '__all__')
3017 ('/bokeh/sampledata/us_states.py', 'module_initializer', 'data')
3018 ('/bokeh/sampledata/airport_routes.py', 'module_initializer', 'log')
3019 ('/bokeh/sampledata/airport_routes.py', 'module_initializer', '__all__')
3020 ('/bokeh/sampledata/airport_routes.py', 'module_initializer', 'airports')
3021 ('/bokeh/sampledata/airport_routes.py', 'module_initializer', 'routes')
3022 ('/bokeh/sampledata/sea_surface_temperature.py', 'module_initializer', 'log')
3023 ('/bokeh/sampledata/sea_surface_temperature.py', 'module_initializer', '__all__')
3024 ('/bokeh/sampledata/sea_surface_temperature.py', 'module_initializer', 'sea_surface_temperature')
3025 ('/bokeh/sampledata/airports.py', 'module_initializer', 'log')
3026 ('/bokeh/sampledata/airports.py', 'module_initializer', '__all__')
3027 ('/bokeh/sampledata/airports.py', 'module_initializer', 'data')
3028 ('/bokeh/sampledata/unemployment1948.py', 'module_initializer', 'log')
3029 ('/bokeh/sampledata/unemployment1948.py', 'module_initializer', '__all__')
3030 ('/bokeh/sampledata/unemployment1948.py', 'module_initializer', 'data')
3031 ('/bokeh/sampledata/us_marriages_divorces.py', 'module_initializer', 'log')
3032 ('/bokeh/sampledata/us_marriages_divorces.py', 'module_initializer', '__all__')
3033 ('/bokeh/sampledata/us_marriages_divorces.py', 'module_initializer', 'data')
3034 ('/bokeh/sampledata/us_cities.py', 'module_initializer', 'log')
3035 ('/bokeh/sampledata/us_cities.py', 'module_initializer', '__all__')
3036 ('/bokeh/sampledata/us_cities.py', 'module_initializer', 'data')
3037 ('/bokeh/sampledata/movies_data.py', 'module_initializer', 'log')
3038 ('/bokeh/sampledata/movies_data.py', 'module_initializer', '__all__')
3039 ('/bokeh/sampledata/movies_data.py', 'module_initializer', 'movie_path')
3040 ('/bokeh/sampledata/sprint.py', 'module_initializer', 'log')
3041 ('/bokeh/sampledata/sprint.py', 'module_initializer', '__all__')
3042 ('/bokeh/sampledata/sprint.py', 'module_initializer', 'sprint')
3043 ('/bokeh/server/views/metadata_handler.py', 'module_initializer', 'log')
3044 ('/bokeh/server/views/metadata_handler.py', 'module_initializer', '__all__')
3045 ('/bokeh/command/subcommands/sampledata.py', 'module_initializer', 'log')
3046 ('/bokeh/command/subcommands/sampledata.py', 'module_initializer', '__all__')
3047 ('/bokeh/command/subcommands/sampledata.py', 'Sampledata_class_initializer', 'name')
3048 ('/bokeh/command/subcommands/sampledata.py', 'Sampledata_class_initializer', 'help')
3049 ('/bokeh/command/subcommands/sampledata.py', 'Sampledata_class_initializer', 'args')
3050 ('/sphinx/source/docs/user_guide/examples/data_filtering_boolean_filter.py', 'module_initializer', 'source')
3051 ('/sphinx/source/docs/user_guide/examples/data_filtering_boolean_filter.py', 'module_initializer', 'y_val')
3052 ('/sphinx/source/docs/user_guide/examples/data_filtering_boolean_filter.py', 'module_initializer', 'booleans')
3053 ('/sphinx/source/docs/user_guide/examples/data_filtering_boolean_filter.py', 'module_initializer', 'view')
3054 ('/sphinx/source/docs/user_guide/examples/data_filtering_boolean_filter.py', 'module_initializer', 'tools')
3055 ('/sphinx/source/docs/user_guide/examples/data_filtering_boolean_filter.py', 'module_initializer', 'p')
3056 ('/sphinx/source/docs/user_guide/examples/data_filtering_boolean_filter.py', 'module_initializer', 'p_filtered')
3057 ('/sphinx/source/docs/user_guide/examples/data_filtering_index_filter.py', 'module_initializer', 'source')
3058 ('/sphinx/source/docs/user_guide/examples/data_filtering_index_filter.py', 'module_initializer', 'view')
3059 ('/sphinx/source/docs/user_guide/examples/data_filtering_index_filter.py', 'module_initializer', 'tools')
3060 ('/sphinx/source/docs/user_guide/examples/data_filtering_index_filter.py', 'module_initializer', 'p')
3061 ('/sphinx/source/docs/user_guide/examples/data_filtering_index_filter.py', 'module_initializer', 'p_filtered')
3062 ('/sphinx/source/docs/user_guide/examples/interaction_data_table.py', 'module_initializer', 'i')
3063 ('/sphinx/source/docs/user_guide/examples/interaction_data_table.py', 'module_initializer', 'data')
3064 ('/sphinx/source/docs/user_guide/examples/interaction_data_table.py', 'module_initializer', 'source')
3065 ('/sphinx/source/docs/user_guide/examples/interaction_data_table.py', 'module_initializer', 'columns')
3066 ('/sphinx/source/docs/user_guide/examples/interaction_data_table.py', 'module_initializer', 'data_table')
3067 ('/sphinx/source/docs/user_guide/examples/data_transforming_customjs_transform.py', 'module_initializer', 'plot')
3068 ('/sphinx/source/docs/user_guide/examples/data_transforming_customjs_transform.py', 'module_initializer', 'aapl_source')
3069 ('/sphinx/source/docs/user_guide/examples/data_transforming_customjs_transform.py', 'module_initializer', 'goog_source')
3070 ('/sphinx/source/docs/user_guide/examples/data_transforming_customjs_transform.py', 'module_initializer', 'v_func')
3071 ('/sphinx/source/docs/user_guide/examples/data_transforming_customjs_transform.py', 'module_initializer', 'normalize')
3072 ('/sphinx/source/docs/user_guide/examples/data_transforming_colors.py', 'module_initializer', 'n')
3073 ('/sphinx/source/docs/user_guide/examples/data_transforming_colors.py', 'module_initializer', 'x')
3074 ('/sphinx/source/docs/user_guide/examples/data_transforming_colors.py', 'module_initializer', 'y')
3075 ('/sphinx/source/docs/user_guide/examples/data_transforming_colors.py', 'module_initializer', 'bins')
3076 ('/sphinx/source/docs/user_guide/examples/data_transforming_colors.py', 'module_initializer', 'p')
3077 ('/sphinx/source/docs/user_guide/examples/data_filtering_group_filter.py', 'module_initializer', 'source')
3078 ('/sphinx/source/docs/user_guide/examples/data_filtering_group_filter.py', 'module_initializer', 'view1')
3079 ('/sphinx/source/docs/user_guide/examples/data_filtering_group_filter.py', 'module_initializer', 'plot_size_and_tools')
3080 ('/sphinx/source/docs/user_guide/examples/data_filtering_group_filter.py', 'module_initializer', 'p1')
3081 ('/sphinx/source/docs/user_guide/examples/data_filtering_group_filter.py', 'module_initializer', 'p2')
3082 ('/examples/app/stocks/download_sample_data.py', 'module_initializer', 'this_dir')
3083 ('/examples/app/stocks/download_sample_data.py', 'module_initializer', 'zip_file')
3084 ('/examples/app/stocks/download_sample_data.py', 'module_initializer', 'zip_dir')
3085 ('/examples/integration/widgets/data_table_customization.py', 'module_initializer', 'source')
3086 ('/examples/integration/widgets/data_table_customization.py', 'module_initializer', 'html_font_template')
3087 ('/examples/integration/widgets/data_table_customization.py', 'module_initializer', 'html_image_template')
3088 ('/examples/integration/widgets/data_table_customization.py', 'module_initializer', 'columns')
3089 ('/examples/integration/widgets/data_table_customization.py', 'module_initializer', 'data_table')
3090 ('/examples/integration/widgets/data_table_preselection.py', 'module_initializer', 'data')
3091 ('/examples/integration/widgets/data_table_preselection.py', 'module_initializer', 'source')
3092 ('/examples/integration/widgets/data_table_preselection.py', 'module_initializer', 'columns')
3093 ('/examples/integration/widgets/data_table_preselection.py', 'module_initializer', 'data_table')
3094 ('/examples/plotting/file/color_data_map.py', 'module_initializer', 'x')
3095 ('/examples/plotting/file/color_data_map.py', 'module_initializer', 'y')
3096 ('/examples/plotting/file/color_data_map.py', 'module_initializer', 'source')
3097 ('/examples/plotting/file/color_data_map.py', 'module_initializer', 'p1')
3098 ('/examples/plotting/file/color_data_map.py', 'module_initializer', 'p2')
3099 ('/examples/plotting/file/color_data_map.py', 'module_initializer', 'p3')
3100 ('/examples/plotting/file/color_data_map.py', 'module_initializer', 'p4')
3101 ('/examples/plotting/file/color_data_map.py', 'module_initializer', 'p5')
3102 ('/examples/plotting/file/color_data_map.py', 'module_initializer', 'mapper')
3103 ('/examples/plotting/file/line_missing_data.py', 'module_initializer', 'x')
3104 ('/examples/plotting/file/line_missing_data.py', 'module_initializer', 'y1')
3105 ('/examples/plotting/file/line_missing_data.py', 'module_initializer', 'y2')
