0 ('/sc2/maps.py', 'module_initializer', 'logger')
581 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STOP_BUILDING')
582 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STOPPROTOSSBUILDING_HOLDFIRE')
583 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STOPPROTOSSBUILDING_CHEER')
584 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STOPPROTOSSBUILDING_DANCE')
585 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BLINDINGCLOUD_BLINDINGCLOUD')
586 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EYESTALK_EYESTALK')
587 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EYESTALK_CANCEL')
588 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_ABDUCT')
589 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'VIPERCONSUME_VIPERCONSUME')
590 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'VIPERCONSUMEMINERALS_VIPERCONSUME')
591 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'VIPERCONSUMESTRUCTURE_VIPERCONSUME')
592 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_PROTOSSBUILDINGQUEUE')
593 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'PROTOSSBUILDINGQUEUE_CANCELSLOT')
594 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'QUE8_CANCEL')
595 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'QUE8_CANCELSLOT')
596 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TESTZERG_CANCEL')
597 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BEHAVIOR_BUILDINGATTACKON')
598 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BEHAVIOR_BUILDINGATTACKOFF')
599 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'PICKUPSCRAPSMALL_PICKUPSCRAPSMALL')
600 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'PICKUPSCRAPMEDIUM_PICKUPSCRAPMEDIUM')
601 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'PICKUPSCRAPLARGE_PICKUPSCRAPLARGE')
602 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'PICKUPPALLETGAS_PICKUPPALLETGAS')
603 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'PICKUPPALLETMINERALS_PICKUPPALLETMINERALS')
604 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MASSIVEKNOCKOVER_MASSIVEKNOCKOVER')
605 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BURROWDOWN_WIDOWMINE')
606 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'WIDOWMINEBURROW_CANCEL')
607 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BURROWUP_WIDOWMINE')
608 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'WIDOWMINEATTACK_WIDOWMINEATTACK')
609 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TORNADOMISSILE_TORNADOMISSILE')
610 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MOTHERSHIPCOREENERGIZE_MOTHERSHIPCOREENERGIZE')
611 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MOTHERSHIPCOREENERGIZE_CANCEL')
612 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LURKERASPECTMPFROMHYDRALISKBURROWED_LURKERMPFROMHYDRALISKBURROWED')
613 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LURKERASPECTMPFROMHYDRALISKBURROWED_CANCEL')
614 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LURKERASPECTMP_LURKERMP')
615 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LURKERASPECTMP_CANCEL')
616 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BURROWDOWN_LURKER')
617 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BURROWLURKERMPDOWN_CANCEL')
618 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BURROWUP_LURKER')
619 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPH_LURKERDEN')
620 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_MORPHLURKERDEN')
621 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALLUCINATION_ORACLE')
622 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_MEDIVACIGNITEAFTERBURNERS')
623 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EXTENDINGBRIDGENEWIDE8OUT_BRIDGEEXTEND')
624 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EXTENDINGBRIDGENEWIDE8_BRIDGERETRACT')
625 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EXTENDINGBRIDGENWWIDE8OUT_BRIDGEEXTEND')
626 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EXTENDINGBRIDGENWWIDE8_BRIDGERETRACT')
627 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EXTENDINGBRIDGENEWIDE10OUT_BRIDGEEXTEND')
628 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EXTENDINGBRIDGENEWIDE10_BRIDGERETRACT')
629 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EXTENDINGBRIDGENWWIDE10OUT_BRIDGEEXTEND')
630 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EXTENDINGBRIDGENWWIDE10_BRIDGERETRACT')
631 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EXTENDINGBRIDGENEWIDE12OUT_BRIDGEEXTEND')
632 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EXTENDINGBRIDGENEWIDE12_BRIDGERETRACT')
633 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EXTENDINGBRIDGENWWIDE12OUT_BRIDGEEXTEND')
634 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EXTENDINGBRIDGENWWIDE12_BRIDGERETRACT')
635 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'INVULNERABILITYSHIELD_INVULNERABILITYSHIELD')
636 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CRITTERFLEE_CRITTERFLEE')
637 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ORACLEREVELATION_ORACLEREVELATION')
638 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ORACLEREVELATIONMODE_ORACLEREVELATIONMODE')
639 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ORACLEREVELATIONMODE_CANCEL')
640 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ORACLENORMALMODE_ORACLENORMALMODE')
641 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ORACLENORMALMODE_CANCEL')
642 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPHTOCOLLAPSIBLEROCKTOWERDEBRISRAMPRIGHT_CANCEL')
643 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPHTOCOLLAPSIBLEROCKTOWERDEBRISRAMPLEFT_CANCEL')
644 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'VOIDSIPHON_VOIDSIPHON')
645 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ULTRALISKWEAPONCOOLDOWN_ULTRALISKWEAPONCOOLDOWN')
646 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MOTHERSHIPCOREPURIFYNEXUSCANCEL_CANCEL')
647 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_PHOTONOVERCHARGE')
648 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORE_XELNAGA_CAVERNS_DOORDEFAULTCLOSE')
649 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOOREOPENED_XELNAGA_CAVERNS_DOORDEFAULTCLOSE')
650 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORN_XELNAGA_CAVERNS_DOORDEFAULTCLOSE')
651 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORNE_XELNAGA_CAVERNS_DOORDEFAULTCLOSE')
652 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORNEOPENED_XELNAGA_CAVERNS_DOORDEFAULTOPEN')
653 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORNOPENED_XELNAGA_CAVERNS_DOORDEFAULTOPEN')
654 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORNW_XELNAGA_CAVERNS_DOORDEFAULTCLOSE')
655 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORNWOPENED_XELNAGA_CAVERNS_DOORDEFAULTOPEN')
656 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORS_XELNAGA_CAVERNS_DOORDEFAULTCLOSE')
657 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORSE_XELNAGA_CAVERNS_DOORDEFAULTCLOSE')
658 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORSEOPENED_XELNAGA_CAVERNS_DOORDEFAULTOPEN')
659 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORSOPENED_XELNAGA_CAVERNS_DOORDEFAULTOPEN')
660 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORSW_XELNAGA_CAVERNS_DOORDEFAULTCLOSE')
661 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORSWOPENED_XELNAGA_CAVERNS_DOORDEFAULTOPEN')
662 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORW_XELNAGA_CAVERNS_DOORDEFAULTCLOSE')
663 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_DOORWOPENED_XELNAGA_CAVERNS_DOORDEFAULTOPEN')
664 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGENE8OUT_BRIDGEEXTEND')
665 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGENE8_BRIDGERETRACT')
666 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGENW8OUT_BRIDGEEXTEND')
667 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGENW8_BRIDGERETRACT')
668 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGENE10OUT_BRIDGEEXTEND')
669 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGENE10_BRIDGERETRACT')
670 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGENW10OUT_BRIDGEEXTEND')
671 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGENW10_BRIDGERETRACT')
672 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGENE12OUT_BRIDGEEXTEND')
673 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGENE12_BRIDGERETRACT')
674 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGENW12OUT_BRIDGEEXTEND')
675 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGENW12_BRIDGERETRACT')
676 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGEH8OUT_BRIDGEEXTEND')
677 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGEH8_BRIDGERETRACT')
678 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGEV8OUT_BRIDGEEXTEND')
679 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGEV8_BRIDGERETRACT')
680 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGEH10OUT_BRIDGEEXTEND')
681 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGEH10_BRIDGERETRACT')
682 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGEV10OUT_BRIDGEEXTEND')
683 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGEV10_BRIDGERETRACT')
684 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGEH12OUT_BRIDGEEXTEND')
685 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGEH12_BRIDGERETRACT')
686 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGEV12OUT_BRIDGEEXTEND')
687 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'XELNAGA_CAVERNS_FLOATING_BRIDGEV12_BRIDGERETRACT')
688 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_TIMEWARP')
689 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SNOWREFINERY_TERRAN_EXTENDINGBRIDGENESHORT8OUT_BRIDGEEXTEND')
690 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SNOWREFINERY_TERRAN_EXTENDINGBRIDGENESHORT8_BRIDGERETRACT')
691 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SNOWREFINERY_TERRAN_EXTENDINGBRIDGENWSHORT8OUT_BRIDGEEXTEND')
692 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SNOWREFINERY_TERRAN_EXTENDINGBRIDGENWSHORT8_BRIDGERETRACT')
693 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SNOWREFINERY_TERRAN_EXTENDINGBRIDGENESHORT10OUT_BRIDGEEXTEND')
694 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SNOWREFINERY_TERRAN_EXTENDINGBRIDGENESHORT10_BRIDGERETRACT')
695 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SNOWREFINERY_TERRAN_EXTENDINGBRIDGENWSHORT10OUT_BRIDGEEXTEND')
696 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SNOWREFINERY_TERRAN_EXTENDINGBRIDGENWSHORT10_BRIDGERETRACT')
697 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ARMORYRESEARCHSWARM_TERRANVEHICLEANDSHIPWEAPONSLEVEL1')
698 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ARMORYRESEARCHSWARM_TERRANVEHICLEANDSHIPWEAPONSLEVEL2')
699 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ARMORYRESEARCHSWARM_TERRANVEHICLEANDSHIPWEAPONSLEVEL3')
700 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ARMORYRESEARCHSWARM_TERRANVEHICLEANDSHIPPLATINGLEVEL1')
701 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ARMORYRESEARCHSWARM_TERRANVEHICLEANDSHIPPLATINGLEVEL2')
702 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ARMORYRESEARCHSWARM_TERRANVEHICLEANDSHIPPLATINGLEVEL3')
703 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CAUSTICSPRAY_CAUSTICSPRAY')
704 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ORACLECLOAKINGFIELDTARGETED_ORACLECLOAKINGFIELDTARGETED')
705 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_IMMORTALBARRIER')
706 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPHTORAVAGER_RAVAGER')
707 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_MORPHRAVAGER')
708 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPH_LURKER')
709 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_MORPHLURKER')
710 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ORACLEPHASESHIFT_ORACLEPHASESHIFT')
711 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RELEASEINTERCEPTORS_RELEASEINTERCEPTORS')
712 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_CORROSIVEBILE')
713 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BURROWDOWN_RAVAGER')
714 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BURROWRAVAGERDOWN_CANCEL')
715 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BURROWUP_RAVAGER')
716 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'PURIFICATIONNOVA_PURIFICATIONNOVA')
717 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_PURIFICATIONNOVA')
718 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'IMPALE_IMPALE')
719 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LOCKON_LOCKON')
720 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LOCKONAIR_LOCKONAIR')
721 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_LOCKON')
722 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CORRUPTIONBOMB_CORRUPTIONBOMB')
723 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CORRUPTIONBOMB_CANCEL')
724 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_TACTICALJUMP')
725 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'OVERCHARGE_OVERCHARGE')
726 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPH_THORHIGHIMPACTMODE')
727 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'THORAPMODE_CANCEL')
728 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPH_THOREXPLOSIVEMODE')
729 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_MORPHTHOREXPLOSIVEMODE')
730 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LIGHTOFAIUR_LIGHTOFAIUR')
731 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_MASSRECALL_MOTHERSHIP')
732 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LOAD_NYDUSWORM')
733 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'UNLOADALL_NYDUSWORM')
734 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BEHAVIOR_PULSARBEAMON')
735 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BEHAVIOR_PULSARBEAMOFF')
736 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'PULSARBEAM_RIPFIELD')
737 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'PULSARCANNON_PULSARCANNON')
738 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'VOIDSWARMHOSTSPAWNLOCUST_VOIDSWARMHOSTSPAWNLOCUST')
739 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LOCUSTMPFLYINGMORPHTOGROUND_LOCUSTMPFLYINGSWOOP')
740 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LOCUSTMPMORPHTOAIR_LOCUSTMPFLYINGSWOOP')
741 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_LOCUSTSWOOP')
742 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALLUCINATION_DISRUPTOR')
743 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALLUCINATION_ADEPT')
744 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_VOIDRAYPRISMATICALIGNMENT')
745 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURLIGHTBRIDGENE8OUT_BRIDGEEXTEND')
746 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURLIGHTBRIDGENE8_BRIDGERETRACT')
747 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURLIGHTBRIDGENE10OUT_BRIDGEEXTEND')
748 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURLIGHTBRIDGENE10_BRIDGERETRACT')
749 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURLIGHTBRIDGENE12OUT_BRIDGEEXTEND')
750 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURLIGHTBRIDGENE12_BRIDGERETRACT')
751 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURLIGHTBRIDGENW8OUT_BRIDGEEXTEND')
752 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURLIGHTBRIDGENW8_BRIDGERETRACT')
753 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURLIGHTBRIDGENW10OUT_BRIDGEEXTEND')
754 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURLIGHTBRIDGENW10_BRIDGERETRACT')
755 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURLIGHTBRIDGENW12OUT_BRIDGEEXTEND')
756 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURLIGHTBRIDGENW12_BRIDGERETRACT')
757 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURTEMPLEBRIDGENE8OUT_BRIDGEEXTEND')
758 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURTEMPLEBRIDGENE8_BRIDGERETRACT')
759 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURTEMPLEBRIDGENE10OUT_BRIDGEEXTEND')
760 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURTEMPLEBRIDGENE10_BRIDGERETRACT')
761 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURTEMPLEBRIDGENE12OUT_BRIDGEEXTEND')
762 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURTEMPLEBRIDGENE12_BRIDGERETRACT')
763 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURTEMPLEBRIDGENW8OUT_BRIDGEEXTEND')
764 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURTEMPLEBRIDGENW8_BRIDGERETRACT')
765 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURTEMPLEBRIDGENW10OUT_BRIDGEEXTEND')
766 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURTEMPLEBRIDGENW10_BRIDGERETRACT')
767 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURTEMPLEBRIDGENW12OUT_BRIDGEEXTEND')
768 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'AIURTEMPLEBRIDGENW12_BRIDGERETRACT')
769 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SHAKURASLIGHTBRIDGENE8OUT_BRIDGEEXTEND')
770 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SHAKURASLIGHTBRIDGENE8_BRIDGERETRACT')
771 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SHAKURASLIGHTBRIDGENE10OUT_BRIDGEEXTEND')
772 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SHAKURASLIGHTBRIDGENE10_BRIDGERETRACT')
773 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SHAKURASLIGHTBRIDGENE12OUT_BRIDGEEXTEND')
774 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SHAKURASLIGHTBRIDGENE12_BRIDGERETRACT')
775 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SHAKURASLIGHTBRIDGENW8OUT_BRIDGEEXTEND')
776 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SHAKURASLIGHTBRIDGENW8_BRIDGERETRACT')
777 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SHAKURASLIGHTBRIDGENW10OUT_BRIDGEEXTEND')
778 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SHAKURASLIGHTBRIDGENW10_BRIDGERETRACT')
779 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SHAKURASLIGHTBRIDGENW12OUT_BRIDGEEXTEND')
780 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SHAKURASLIGHTBRIDGENW12_BRIDGERETRACT')
781 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'VOIDMPIMMORTALREVIVEREBUILD_IMMORTAL')
782 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'VOIDMPIMMORTALREVIVEDEATH_IMMORTAL')
783 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ARBITERMPSTASISFIELD_ARBITERMPSTASISFIELD')
784 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ARBITERMPRECALL_ARBITERMPRECALL')
785 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CORSAIRMPDISRUPTIONWEB_CORSAIRMPDISRUPTIONWEB')
786 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPHTOGUARDIANMP_MORPHTOGUARDIANMP')
787 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPHTOGUARDIANMP_CANCEL')
788 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPHTODEVOURERMP_MORPHTODEVOURERMP')
789 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPHTODEVOURERMP_CANCEL')
