0 ('/wemake_python_styleguide/visitors/ast/naming.py', 'module_initializer', '_VariableDef')
434 ('/wemake_python_styleguide/compat/aliases.py', 'module_initializer', 'WithNodes')
435 ('/wemake_python_styleguide/visitors/ast/blocks.py', 'module_initializer', '_BlockVariables')
436 ('/wemake_python_styleguide/visitors/ast/blocks.py', 'module_initializer', '_ScopePredicate')
437 ('/wemake_python_styleguide/visitors/ast/blocks.py', 'module_initializer', '_NamePredicate')
438 ('/wemake_python_styleguide/visitors/ast/operators.py', 'module_initializer', '_MeaninglessOperators')
439 ('/wemake_python_styleguide/visitors/ast/operators.py', 'module_initializer', '_OperatorLimits')
440 ('/wemake_python_styleguide/visitors/ast/operators.py', 'module_initializer', '_NumbersAndConstants')
441 ('/wemake_python_styleguide/visitors/ast/complexity/overuses.py', 'module_initializer', '_Expressions')
442 ('/wemake_python_styleguide/visitors/ast/complexity/overuses.py', 'module_initializer', '_FunctionExpressions')
443 ('/wemake_python_styleguide/visitors/ast/complexity/overuses.py', 'module_initializer', '_StringConstants')
444 ('/wemake_python_styleguide/logic/complexity/functions.py', 'module_initializer', 'FunctionCounter')
445 ('/wemake_python_styleguide/logic/complexity/functions.py', 'module_initializer', 'FunctionCounterWithLambda')
446 ('/wemake_python_styleguide/logic/complexity/functions.py', 'module_initializer', 'FunctionNames')
447 ('/wemake_python_styleguide/visitors/ast/complexity/function.py', 'module_initializer', '_AnyFunctionCounter')
448 ('/wemake_python_styleguide/visitors/ast/complexity/function.py', 'module_initializer', '_CheckRule')
449 ('/wemake_python_styleguide/visitors/ast/complexity/function.py', 'module_initializer', '_NodeTypeHandler')
450 ('/wemake_python_styleguide/visitors/ast/complexity/jones.py', 'JonesComplexityVisitor_class_initializer', '_ignored_nodes')
451 ('/wemake_python_styleguide/visitors/ast/complexity/counts.py', 'module_initializer', '_ConditionNodes')
452 ('/wemake_python_styleguide/visitors/ast/complexity/counts.py', 'module_initializer', '_ModuleMembers')
453 ('/wemake_python_styleguide/visitors/tokenize/statements.py', 'module_initializer', 'TokenLines')
454 ('/wemake_python_styleguide/visitors/tokenize/comments.py', 'module_initializer', 'EMPTY_STRING')
455 ('/wemake_python_styleguide/visitors/tokenize/comments.py', 'module_initializer', 'SENTINEL_TOKEN')
456 ('/wemake_python_styleguide/compat/constants.py', 'module_initializer', 'PY38')
457 ('/wemake_python_styleguide/compat/types.py', 'module_initializer', 'AnyAssignWithWalrus')
458 ('/wemake_python_styleguide/compat/routing.py', 'module_initializer', '_CONST_NODE_TYPE_NAMES')
459 ('/wemake_python_styleguide/compat/routing.py', 'module_initializer', 'route_visit')
460 ('/wemake_python_styleguide/transformations/ast/enhancements.py', 'module_initializer', '_CONTEXTS')
461 ('/wemake_python_styleguide/logic/tokens.py', 'module_initializer', 'MATCHING')
462 ('/wemake_python_styleguide/logic/tokens.py', 'module_initializer', 'NEWLINES')
463 ('/wemake_python_styleguide/logic/tokens.py', 'module_initializer', 'ALLOWED_EMPTY_LINE_TOKENS')
464 ('/wemake_python_styleguide/logic/walk.py', 'module_initializer', '_SubnodeType')
465 ('/wemake_python_styleguide/logic/walk.py', 'module_initializer', '_IsInstanceContainer')
466 ('/wemake_python_styleguide/logic/tree/functions.py', 'module_initializer', '_AnyControlTransfers')
467 ('/wemake_python_styleguide/logic/tree/functions.py', 'module_initializer', '_ControlTransferIterable')
468 ('/wemake_python_styleguide/logic/tree/functions.py', 'module_initializer', '_ControlTransferTuple')
469 ('/wemake_python_styleguide/logic/tree/variables.py', 'module_initializer', '_VarDefinition')
470 ('/wemake_python_styleguide/logic/tree/variables.py', 'module_initializer', '_LocalVariable')
471 ('/wemake_python_styleguide/logic/tree/collections.py', 'module_initializer', '_NodeType')
472 ('/wemake_python_styleguide/logic/tree/collections.py', 'module_initializer', '_DefaultType')
473 ('/wemake_python_styleguide/logic/tree/compares.py', 'module_initializer', '_MultipleCompareOperators')
474 ('/wemake_python_styleguide/logic/tree/compares.py', 'module_initializer', '_ComparesMapping')
475 ('/wemake_python_styleguide/logic/tree/compares.py', 'module_initializer', '_OperatorUsages')
476 ('/wemake_python_styleguide/logic/tree/compares.py', 'module_initializer', 'SIMILAR_OPERATORS')
477 ('/wemake_python_styleguide/logic/tree/classes.py', 'module_initializer', '_AllAttributes')
478 ('/wemake_python_styleguide/logic/tree/ifs.py', 'module_initializer', '_IfAndElifASTNode')
479 ('/wemake_python_styleguide/logic/complexity/overuses.py', 'module_initializer', '_AnnNodes')
480 ('/wemake_python_styleguide/logic/complexity/annotations.py', 'module_initializer', '_Annotation')
481 ('/wemake_python_styleguide/logic/complexity/cognitive.py', 'module_initializer', '_CONTROL_FLOW_BREAKERS')
482 ('/wemake_python_styleguide/logic/complexity/cognitive.py', 'module_initializer', '_SHORT_CIRCUITS')
483 ('/wemake_python_styleguide/logic/complexity/cognitive.py', 'module_initializer', '_INCREMENTERS')
484 ('/wemake_python_styleguide/logic/naming/builtins.py', 'module_initializer', '_BUILTINS_WHITELIST')
485 ('/wemake_python_styleguide/logic/naming/builtins.py', 'module_initializer', '_BUILTINS')
486 ('/wemake_python_styleguide/logic/naming/builtins.py', 'module_initializer', '_ALL_BUILTINS')
487 ('/wemake_python_styleguide/logic/naming/access.py', 'module_initializer', '_UNUSED_VARIABLE_REGEX')
488 ('/wemake_python_styleguide/logic/naming/alphabet.py', 'module_initializer', '_UNDERSCORED_NUMBER_PATTERN')
489 ('/wemake_python_styleguide/logic/scopes/defs.py', 'module_initializer', '_ContextStore')
490 ('/wemake_python_styleguide/logic/scopes/predicates.py', 'module_initializer', '_OVERLOAD_EXCEPTIONS')
491 ('/wemake_python_styleguide/logic/scopes/predicates.py', 'module_initializer', '_PROPERTY_EXCEPTIONS')
492 ('/wemake_python_styleguide/presets/types/tree.py', 'module_initializer', 'PRESET')
493 ('/wemake_python_styleguide/violations/naming.py', 'WrongModuleNameViolation_class_initializer', 'error_template')
494 ('/wemake_python_styleguide/violations/naming.py', 'WrongModuleNameViolation_class_initializer', 'code')
495 ('/wemake_python_styleguide/violations/naming.py', 'WrongModuleMagicNameViolation_class_initializer', 'error_template')
496 ('/wemake_python_styleguide/violations/naming.py', 'WrongModuleMagicNameViolation_class_initializer', 'code')
497 ('/wemake_python_styleguide/violations/naming.py', 'WrongModuleNamePatternViolation_class_initializer', 'error_template')
498 ('/wemake_python_styleguide/violations/naming.py', 'WrongModuleNamePatternViolation_class_initializer', 'code')
499 ('/wemake_python_styleguide/violations/naming.py', 'WrongVariableNameViolation_class_initializer', 'error_template')
500 ('/wemake_python_styleguide/violations/naming.py', 'WrongVariableNameViolation_class_initializer', 'code')
501 ('/wemake_python_styleguide/violations/naming.py', 'TooShortNameViolation_class_initializer', 'error_template')
502 ('/wemake_python_styleguide/violations/naming.py', 'TooShortNameViolation_class_initializer', 'code')
503 ('/wemake_python_styleguide/violations/naming.py', 'TooShortNameViolation_class_initializer', 'postfix_template')
504 ('/wemake_python_styleguide/violations/naming.py', 'PrivateNameViolation_class_initializer', 'error_template')
505 ('/wemake_python_styleguide/violations/naming.py', 'PrivateNameViolation_class_initializer', 'code')
506 ('/wemake_python_styleguide/violations/naming.py', 'SameAliasImportViolation_class_initializer', 'error_template')
507 ('/wemake_python_styleguide/violations/naming.py', 'SameAliasImportViolation_class_initializer', 'code')
508 ('/wemake_python_styleguide/violations/naming.py', 'UnderscoredNumberNameViolation_class_initializer', 'error_template')
509 ('/wemake_python_styleguide/violations/naming.py', 'UnderscoredNumberNameViolation_class_initializer', 'code')
510 ('/wemake_python_styleguide/violations/naming.py', 'UpperCaseAttributeViolation_class_initializer', 'error_template')
511 ('/wemake_python_styleguide/violations/naming.py', 'UpperCaseAttributeViolation_class_initializer', 'code')
512 ('/wemake_python_styleguide/violations/naming.py', 'ConsecutiveUnderscoresInNameViolation_class_initializer', 'error_template')
513 ('/wemake_python_styleguide/violations/naming.py', 'ConsecutiveUnderscoresInNameViolation_class_initializer', 'code')
514 ('/wemake_python_styleguide/violations/naming.py', 'ReservedArgumentNameViolation_class_initializer', 'error_template')
515 ('/wemake_python_styleguide/violations/naming.py', 'ReservedArgumentNameViolation_class_initializer', 'code')
516 ('/wemake_python_styleguide/violations/naming.py', 'TooLongNameViolation_class_initializer', 'error_template')
517 ('/wemake_python_styleguide/violations/naming.py', 'TooLongNameViolation_class_initializer', 'code')
518 ('/wemake_python_styleguide/violations/naming.py', 'UnicodeNameViolation_class_initializer', 'error_template')
519 ('/wemake_python_styleguide/violations/naming.py', 'UnicodeNameViolation_class_initializer', 'code')
520 ('/wemake_python_styleguide/violations/naming.py', 'TrailingUnderscoreViolation_class_initializer', 'error_template')
521 ('/wemake_python_styleguide/violations/naming.py', 'TrailingUnderscoreViolation_class_initializer', 'code')
522 ('/wemake_python_styleguide/violations/naming.py', 'UnusedVariableIsUsedViolation_class_initializer', 'error_template')
523 ('/wemake_python_styleguide/violations/naming.py', 'UnusedVariableIsUsedViolation_class_initializer', 'code')
524 ('/wemake_python_styleguide/violations/naming.py', 'UnusedVariableIsDefinedViolation_class_initializer', 'error_template')
525 ('/wemake_python_styleguide/violations/naming.py', 'UnusedVariableIsDefinedViolation_class_initializer', 'code')
526 ('/wemake_python_styleguide/violations/naming.py', 'WrongUnusedVariableNameViolation_class_initializer', 'error_template')
527 ('/wemake_python_styleguide/violations/naming.py', 'WrongUnusedVariableNameViolation_class_initializer', 'code')
528 ('/wemake_python_styleguide/violations/naming.py', 'UnreadableNameViolation_class_initializer', 'error_template')
529 ('/wemake_python_styleguide/violations/naming.py', 'UnreadableNameViolation_class_initializer', 'code')
530 ('/wemake_python_styleguide/violations/naming.py', 'BuiltinShadowingViolation_class_initializer', 'error_template')
531 ('/wemake_python_styleguide/violations/naming.py', 'BuiltinShadowingViolation_class_initializer', 'code')
532 ('/wemake_python_styleguide/presets/topics/complexity.py', 'module_initializer', 'PRESET')
533 ('/wemake_python_styleguide/violations/complexity.py', 'JonesScoreViolation_class_initializer', 'error_template')
534 ('/wemake_python_styleguide/violations/complexity.py', 'JonesScoreViolation_class_initializer', 'code')
535 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyImportsViolation_class_initializer', 'error_template')
536 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyImportsViolation_class_initializer', 'code')
537 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyModuleMembersViolation_class_initializer', 'error_template')
538 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyModuleMembersViolation_class_initializer', 'code')
539 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyImportedNamesViolation_class_initializer', 'error_template')
540 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyImportedNamesViolation_class_initializer', 'code')
541 ('/wemake_python_styleguide/violations/complexity.py', 'OverusedExpressionViolation_class_initializer', 'error_template')
542 ('/wemake_python_styleguide/violations/complexity.py', 'OverusedExpressionViolation_class_initializer', 'code')
543 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyLocalsViolation_class_initializer', 'error_template')
544 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyLocalsViolation_class_initializer', 'code')
545 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyArgumentsViolation_class_initializer', 'error_template')
546 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyArgumentsViolation_class_initializer', 'code')
547 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyReturnsViolation_class_initializer', 'error_template')
548 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyReturnsViolation_class_initializer', 'code')
549 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyExpressionsViolation_class_initializer', 'error_template')
550 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyExpressionsViolation_class_initializer', 'code')
551 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyMethodsViolation_class_initializer', 'error_template')
552 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyMethodsViolation_class_initializer', 'code')
553 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyBaseClassesViolation_class_initializer', 'error_template')
554 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyBaseClassesViolation_class_initializer', 'code')
555 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyDecoratorsViolation_class_initializer', 'error_template')
556 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyDecoratorsViolation_class_initializer', 'code')
557 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyAwaitsViolation_class_initializer', 'error_template')
558 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyAwaitsViolation_class_initializer', 'code')
559 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyAssertsViolation_class_initializer', 'error_template')
560 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyAssertsViolation_class_initializer', 'code')
561 ('/wemake_python_styleguide/violations/complexity.py', 'TooDeepAccessViolation_class_initializer', 'error_template')
562 ('/wemake_python_styleguide/violations/complexity.py', 'TooDeepAccessViolation_class_initializer', 'code')
563 ('/wemake_python_styleguide/violations/complexity.py', 'TooDeepNestingViolation_class_initializer', 'error_template')
564 ('/wemake_python_styleguide/violations/complexity.py', 'TooDeepNestingViolation_class_initializer', 'code')
565 ('/wemake_python_styleguide/violations/complexity.py', 'LineComplexityViolation_class_initializer', 'error_template')
566 ('/wemake_python_styleguide/violations/complexity.py', 'LineComplexityViolation_class_initializer', 'code')
567 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyConditionsViolation_class_initializer', 'error_template')
568 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyConditionsViolation_class_initializer', 'code')
569 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyElifsViolation_class_initializer', 'error_template')
570 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyElifsViolation_class_initializer', 'code')
571 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyForsInComprehensionViolation_class_initializer', 'error_template')
572 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyForsInComprehensionViolation_class_initializer', 'code')
573 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyExceptCasesViolation_class_initializer', 'error_template')
574 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyExceptCasesViolation_class_initializer', 'code')
575 ('/wemake_python_styleguide/violations/complexity.py', 'OverusedStringViolation_class_initializer', 'error_template')
576 ('/wemake_python_styleguide/violations/complexity.py', 'OverusedStringViolation_class_initializer', 'code')
577 ('/wemake_python_styleguide/violations/complexity.py', 'TooLongYieldTupleViolation_class_initializer', 'error_template')
578 ('/wemake_python_styleguide/violations/complexity.py', 'TooLongYieldTupleViolation_class_initializer', 'code')
579 ('/wemake_python_styleguide/violations/complexity.py', 'TooLongCompareViolation_class_initializer', 'error_template')
580 ('/wemake_python_styleguide/violations/complexity.py', 'TooLongCompareViolation_class_initializer', 'code')
581 ('/wemake_python_styleguide/violations/complexity.py', 'TooLongTryBodyViolation_class_initializer', 'error_template')
582 ('/wemake_python_styleguide/violations/complexity.py', 'TooLongTryBodyViolation_class_initializer', 'code')
583 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyPublicAttributesViolation_class_initializer', 'error_template')
584 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyPublicAttributesViolation_class_initializer', 'code')
585 ('/wemake_python_styleguide/violations/complexity.py', 'CognitiveComplexityViolation_class_initializer', 'error_template')
586 ('/wemake_python_styleguide/violations/complexity.py', 'CognitiveComplexityViolation_class_initializer', 'code')
587 ('/wemake_python_styleguide/violations/complexity.py', 'CognitiveModuleComplexityViolation_class_initializer', 'error_template')
588 ('/wemake_python_styleguide/violations/complexity.py', 'CognitiveModuleComplexityViolation_class_initializer', 'code')
589 ('/wemake_python_styleguide/violations/complexity.py', 'TooLongCallChainViolation_class_initializer', 'error_template')
590 ('/wemake_python_styleguide/violations/complexity.py', 'TooLongCallChainViolation_class_initializer', 'code')
591 ('/wemake_python_styleguide/violations/complexity.py', 'TooComplexAnnotationViolation_class_initializer', 'error_template')
592 ('/wemake_python_styleguide/violations/complexity.py', 'TooComplexAnnotationViolation_class_initializer', 'code')
593 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyImportedModuleMembersViolation_class_initializer', 'error_template')
594 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyImportedModuleMembersViolation_class_initializer', 'code')
595 ('/wemake_python_styleguide/violations/complexity.py', 'TooLongTupleUnpackViolation_class_initializer', 'error_template')
596 ('/wemake_python_styleguide/violations/complexity.py', 'TooLongTupleUnpackViolation_class_initializer', 'code')
597 ('/wemake_python_styleguide/violations/complexity.py', 'TooComplexFormattedStringViolation_class_initializer', 'error_template')
598 ('/wemake_python_styleguide/violations/complexity.py', 'TooComplexFormattedStringViolation_class_initializer', 'code')
599 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyRaisesViolation_class_initializer', 'error_template')
600 ('/wemake_python_styleguide/violations/complexity.py', 'TooManyRaisesViolation_class_initializer', 'code')
601 ('/wemake_python_styleguide/presets/types/file_tokens.py', 'module_initializer', 'PRESET')
602 ('/wemake_python_styleguide/presets/types/filename.py', 'module_initializer', 'PRESET')
603 ('/wemake_python_styleguide/violations/system.py', 'InternalErrorViolation_class_initializer', 'error_template')
604 ('/wemake_python_styleguide/violations/system.py', 'InternalErrorViolation_class_initializer', 'code')
605 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessLoopElseViolation_class_initializer', 'error_template')
606 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessLoopElseViolation_class_initializer', 'code')
607 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessLoopElseViolation_class_initializer', 'previous_codes')
608 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessFinallyViolation_class_initializer', 'error_template')
609 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessFinallyViolation_class_initializer', 'code')
610 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessFinallyViolation_class_initializer', 'previous_codes')
611 ('/wemake_python_styleguide/violations/refactoring.py', 'SimplifiableIfViolation_class_initializer', 'error_template')
612 ('/wemake_python_styleguide/violations/refactoring.py', 'SimplifiableIfViolation_class_initializer', 'code')
613 ('/wemake_python_styleguide/violations/refactoring.py', 'SimplifiableIfViolation_class_initializer', 'previous_codes')
614 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessReturningElseViolation_class_initializer', 'error_template')
615 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessReturningElseViolation_class_initializer', 'code')
616 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessReturningElseViolation_class_initializer', 'previous_codes')
617 ('/wemake_python_styleguide/violations/refactoring.py', 'NegatedConditionsViolation_class_initializer', 'error_template')
618 ('/wemake_python_styleguide/violations/refactoring.py', 'NegatedConditionsViolation_class_initializer', 'code')
619 ('/wemake_python_styleguide/violations/refactoring.py', 'NegatedConditionsViolation_class_initializer', 'previous_codes')
620 ('/wemake_python_styleguide/violations/refactoring.py', 'NestedTryViolation_class_initializer', 'error_template')
621 ('/wemake_python_styleguide/violations/refactoring.py', 'NestedTryViolation_class_initializer', 'code')
622 ('/wemake_python_styleguide/violations/refactoring.py', 'NestedTryViolation_class_initializer', 'previous_codes')
623 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessLambdaViolation_class_initializer', 'error_template')
624 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessLambdaViolation_class_initializer', 'code')
625 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessLambdaViolation_class_initializer', 'previous_codes')
626 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessLenCompareViolation_class_initializer', 'error_template')
627 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessLenCompareViolation_class_initializer', 'code')
628 ('/wemake_python_styleguide/violations/refactoring.py', 'UselessLenCompareViolation_class_initializer', 'previous_codes')
629 ('/wemake_python_styleguide/violations/refactoring.py', 'NotOperatorWithCompareViolation_class_initializer', 'error_template')
630 ('/wemake_python_styleguide/violations/refactoring.py', 'NotOperatorWithCompareViolation_class_initializer', 'code')
631 ('/wemake_python_styleguide/violations/refactoring.py', 'NotOperatorWithCompareViolation_class_initializer', 'previous_codes')
632 ('/wemake_python_styleguide/violations/refactoring.py', 'NestedTernaryViolation_class_initializer', 'error_template')
633 ('/wemake_python_styleguide/violations/refactoring.py', 'NestedTernaryViolation_class_initializer', 'code')
634 ('/wemake_python_styleguide/violations/refactoring.py', 'NestedTernaryViolation_class_initializer', 'previous_codes')
635 ('/wemake_python_styleguide/violations/refactoring.py', 'WrongInCompareTypeViolation_class_initializer', 'error_template')
636 ('/wemake_python_styleguide/violations/refactoring.py', 'WrongInCompareTypeViolation_class_initializer', 'code')
637 ('/wemake_python_styleguide/violations/refactoring.py', 'WrongInCompareTypeViolation_class_initializer', 'previous_codes')
638 ('/wemake_python_styleguide/violations/refactoring.py', 'UnmergedIsinstanceCallsViolation_class_initializer', 'error_template')
639 ('/wemake_python_styleguide/violations/refactoring.py', 'UnmergedIsinstanceCallsViolation_class_initializer', 'code')
640 ('/wemake_python_styleguide/violations/refactoring.py', 'UnmergedIsinstanceCallsViolation_class_initializer', 'previous_codes')
641 ('/wemake_python_styleguide/violations/refactoring.py', 'WrongIsinstanceWithTupleViolation_class_initializer', 'error_template')
642 ('/wemake_python_styleguide/violations/refactoring.py', 'WrongIsinstanceWithTupleViolation_class_initializer', 'code')
643 ('/wemake_python_styleguide/violations/refactoring.py', 'WrongIsinstanceWithTupleViolation_class_initializer', 'previous_codes')
644 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitElifViolation_class_initializer', 'error_template')
645 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitElifViolation_class_initializer', 'code')
646 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitInConditionViolation_class_initializer', 'code')
647 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitInConditionViolation_class_initializer', 'error_template')
648 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitInConditionViolation_class_initializer', 'previous_codes')
649 ('/wemake_python_styleguide/violations/refactoring.py', 'OpenWithoutContextManagerViolation_class_initializer', 'code')
650 ('/wemake_python_styleguide/violations/refactoring.py', 'OpenWithoutContextManagerViolation_class_initializer', 'error_template')
651 ('/wemake_python_styleguide/violations/refactoring.py', 'TypeCompareViolation_class_initializer', 'code')
652 ('/wemake_python_styleguide/violations/refactoring.py', 'TypeCompareViolation_class_initializer', 'error_template')
653 ('/wemake_python_styleguide/violations/refactoring.py', 'PointlessStarredViolation_class_initializer', 'code')
654 ('/wemake_python_styleguide/violations/refactoring.py', 'PointlessStarredViolation_class_initializer', 'error_template')
655 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitEnumerateViolation_class_initializer', 'code')
656 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitEnumerateViolation_class_initializer', 'error_template')
657 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitSumViolation_class_initializer', 'code')
658 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitSumViolation_class_initializer', 'error_template')
659 ('/wemake_python_styleguide/violations/refactoring.py', 'FalsyConstantCompareViolation_class_initializer', 'code')
660 ('/wemake_python_styleguide/violations/refactoring.py', 'FalsyConstantCompareViolation_class_initializer', 'error_template')
661 ('/wemake_python_styleguide/violations/refactoring.py', 'WrongIsCompareViolation_class_initializer', 'code')
662 ('/wemake_python_styleguide/violations/refactoring.py', 'WrongIsCompareViolation_class_initializer', 'error_template')
663 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitPrimitiveViolation_class_initializer', 'code')
664 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitPrimitiveViolation_class_initializer', 'error_template')
665 ('/wemake_python_styleguide/violations/refactoring.py', 'AlmostSwappedViolation_class_initializer', 'error_template')
666 ('/wemake_python_styleguide/violations/refactoring.py', 'AlmostSwappedViolation_class_initializer', 'code')
667 ('/wemake_python_styleguide/violations/refactoring.py', 'MisrefactoredAssignmentViolation_class_initializer', 'error_template')
668 ('/wemake_python_styleguide/violations/refactoring.py', 'MisrefactoredAssignmentViolation_class_initializer', 'code')
669 ('/wemake_python_styleguide/violations/refactoring.py', 'InCompareWithSingleItemContainerViolation_class_initializer', 'error_template')
670 ('/wemake_python_styleguide/violations/refactoring.py', 'InCompareWithSingleItemContainerViolation_class_initializer', 'code')
671 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitYieldFromViolation_class_initializer', 'error_template')
672 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitYieldFromViolation_class_initializer', 'code')
673 ('/wemake_python_styleguide/violations/refactoring.py', 'NotATupleArgumentViolation_class_initializer', 'error_template')
674 ('/wemake_python_styleguide/violations/refactoring.py', 'NotATupleArgumentViolation_class_initializer', 'code')
675 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitItemsIteratorViolation_class_initializer', 'error_template')
676 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitItemsIteratorViolation_class_initializer', 'code')
677 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitDictGetViolation_class_initializer', 'error_template')
678 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitDictGetViolation_class_initializer', 'code')
679 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitNegativeIndexViolation_class_initializer', 'error_template')
680 ('/wemake_python_styleguide/violations/refactoring.py', 'ImplicitNegativeIndexViolation_class_initializer', 'code')
681 ('/wemake_python_styleguide/violations/refactoring.py', 'SimplifiableReturningIfViolation_class_initializer', 'error_template')
682 ('/wemake_python_styleguide/violations/refactoring.py', 'SimplifiableReturningIfViolation_class_initializer', 'code')
683 ('/wemake_python_styleguide/violations/oop.py', 'BuiltinSubclassViolation_class_initializer', 'error_template')
684 ('/wemake_python_styleguide/violations/oop.py', 'BuiltinSubclassViolation_class_initializer', 'code')
685 ('/wemake_python_styleguide/violations/oop.py', 'BuiltinSubclassViolation_class_initializer', 'previous_codes')
686 ('/wemake_python_styleguide/violations/oop.py', 'ShadowedClassAttributeViolation_class_initializer', 'error_template')
687 ('/wemake_python_styleguide/violations/oop.py', 'ShadowedClassAttributeViolation_class_initializer', 'code')
688 ('/wemake_python_styleguide/violations/oop.py', 'ShadowedClassAttributeViolation_class_initializer', 'previous_codes')
689 ('/wemake_python_styleguide/violations/oop.py', 'StaticMethodViolation_class_initializer', 'error_template')
690 ('/wemake_python_styleguide/violations/oop.py', 'StaticMethodViolation_class_initializer', 'code')
691 ('/wemake_python_styleguide/violations/oop.py', 'StaticMethodViolation_class_initializer', 'previous_codes')
692 ('/wemake_python_styleguide/violations/oop.py', 'BadMagicMethodViolation_class_initializer', 'error_template')
693 ('/wemake_python_styleguide/violations/oop.py', 'BadMagicMethodViolation_class_initializer', 'code')
694 ('/wemake_python_styleguide/violations/oop.py', 'BadMagicMethodViolation_class_initializer', 'previous_codes')
695 ('/wemake_python_styleguide/violations/oop.py', 'WrongClassBodyContentViolation_class_initializer', 'error_template')
696 ('/wemake_python_styleguide/violations/oop.py', 'WrongClassBodyContentViolation_class_initializer', 'code')
697 ('/wemake_python_styleguide/violations/oop.py', 'WrongClassBodyContentViolation_class_initializer', 'previous_codes')
698 ('/wemake_python_styleguide/violations/oop.py', 'MethodWithoutArgumentsViolation_class_initializer', 'error_template')
699 ('/wemake_python_styleguide/violations/oop.py', 'MethodWithoutArgumentsViolation_class_initializer', 'code')
700 ('/wemake_python_styleguide/violations/oop.py', 'MethodWithoutArgumentsViolation_class_initializer', 'previous_codes')
701 ('/wemake_python_styleguide/violations/oop.py', 'WrongBaseClassViolation_class_initializer', 'error_template')
702 ('/wemake_python_styleguide/violations/oop.py', 'WrongBaseClassViolation_class_initializer', 'code')
703 ('/wemake_python_styleguide/violations/oop.py', 'WrongBaseClassViolation_class_initializer', 'previous_codes')
