0 ('/explore.py', 'module_initializer', 'zfuse')
340 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'num_children')
341 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'creation_time')
342 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'creation_txg')
343 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'deadlist')
344 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'used_bytes')
345 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'compressed_bytes')
346 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'uncompressed_bytes')
347 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'unique_bytes')
348 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'fsid_guid')
349 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'guid')
350 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'flags')
351 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'bp')
352 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', '_pad')
353 ('/zfs/ondisk/__init__.py', 'BPObjHeader_class_initializer', '__ENDIAN__')
354 ('/zfs/ondisk/__init__.py', 'BPObjHeader_class_initializer', 'length')
355 ('/zfs/ondisk/__init__.py', 'BPObjHeader_class_initializer', 'unknown')
356 ('/zfs/ondisk/fatzap.py', 'module_initializer', 'logger')
357 ('/zfs/ondisk/fatzap.py', 'module_initializer', 'CHUNK_TYPES')
358 ('/zfs/ondisk/fatzap.py', 'module_initializer', 'formats')
359 ('/zfs/ondisk/fatzap.py', 'PointerTable_class_initializer', '__ENDIAN__')
360 ('/zfs/ondisk/fatzap.py', 'PointerTable_class_initializer', 'block')
361 ('/zfs/ondisk/fatzap.py', 'PointerTable_class_initializer', 'num_blocks')
362 ('/zfs/ondisk/fatzap.py', 'PointerTable_class_initializer', 'shift')
363 ('/zfs/ondisk/fatzap.py', 'PointerTable_class_initializer', 'next_block')
364 ('/zfs/ondisk/fatzap.py', 'PointerTable_class_initializer', 'blocks_copied')
365 ('/zfs/ondisk/fatzap.py', 'LeafHeader_class_initializer', '__ENDIAN__')
366 ('/zfs/ondisk/fatzap.py', 'LeafHeader_class_initializer', 'header')
367 ('/zfs/ondisk/fatzap.py', 'LeafHeader_class_initializer', 'next')
368 ('/zfs/ondisk/fatzap.py', 'LeafHeader_class_initializer', 'prefix')
369 ('/zfs/ondisk/fatzap.py', 'LeafHeader_class_initializer', 'magic')
370 ('/zfs/ondisk/fatzap.py', 'LeafHeader_class_initializer', 'num_free')
371 ('/zfs/ondisk/fatzap.py', 'LeafHeader_class_initializer', 'n_entries')
372 ('/zfs/ondisk/fatzap.py', 'LeafHeader_class_initializer', 'prefix_len')
373 ('/zfs/ondisk/fatzap.py', 'LeafHeader_class_initializer', 'freelist')
374 ('/zfs/ondisk/fatzap.py', 'LeafHeader_class_initializer', '_padding')
375 ('/zfs/ondisk/fatzap.py', 'FatZAPHeader_class_initializer', '__ENDIAN__')
376 ('/zfs/ondisk/fatzap.py', 'FatZAPHeader_class_initializer', 'block_type')
377 ('/zfs/ondisk/fatzap.py', 'FatZAPHeader_class_initializer', 'magic')
378 ('/zfs/ondisk/fatzap.py', 'FatZAPHeader_class_initializer', 'ptr_info')
379 ('/zfs/ondisk/fatzap.py', 'FatZAPHeader_class_initializer', 'first_free')
380 ('/zfs/ondisk/fatzap.py', 'FatZAPHeader_class_initializer', 'num_leafs')
381 ('/zfs/ondisk/fatzap.py', 'FatZAPHeader_class_initializer', 'num_entries')
382 ('/zfs/ondisk/fatzap.py', 'FatZAPHeader_class_initializer', 'salt')
383 ('/zfs/ondisk/fatzap.py', 'LeafChunk_class_initializer', '__ENDIAN__')
384 ('/zfs/ondisk/fatzap.py', 'LeafChunk_class_initializer', 'chunk_type')
385 ('/zfs/ondisk/fatzap.py', 'LeafChunk_class_initializer', 'data')
386 ('/zfs/ondisk/fatzap.py', 'LeafEntry_class_initializer', 'size')
387 ('/zfs/ondisk/fatzap.py', 'LeafEntry_class_initializer', 'next')
388 ('/zfs/ondisk/fatzap.py', 'LeafEntry_class_initializer', 'name_chunk')
389 ('/zfs/ondisk/fatzap.py', 'LeafEntry_class_initializer', 'name_length')
390 ('/zfs/ondisk/fatzap.py', 'LeafEntry_class_initializer', 'value_chunk')
391 ('/zfs/ondisk/fatzap.py', 'LeafEntry_class_initializer', 'value_length')
392 ('/zfs/ondisk/fatzap.py', 'LeafEntry_class_initializer', 'collision')
393 ('/zfs/ondisk/fatzap.py', 'LeafEntry_class_initializer', 'padding')
394 ('/zfs/ondisk/fatzap.py', 'LeafEntry_class_initializer', 'hash')
395 ('/zfs/ondisk/fatzap.py', 'LeafArray_class_initializer', 'data')
396 ('/zfs/ondisk/fatzap.py', 'LeafArray_class_initializer', 'next')
397 ('/zfs/ondisk/fatzap.py', 'LeafFree_class_initializer', '_padding')
398 ('/zfs/ondisk/fatzap.py', 'LeafFree_class_initializer', 'next')
399 ('/zfs/objectset.py', '__init__', 'dataset')
400 ('/zfs/objectset.py', '__init__', 'self')
401 ('/zfs/objectset.py', '__init__', 'pool')
402 ('/zfs/objectset.py', '__init__', 'raw_objectset')
403 ('/zfs/objectset.py', '__init__', 'objset')
404 ('/zfs/objectset.py', 'get_dnode', 'self')
405 ('/zfs/objectset.py', 'get_dnode', 'index')
406 ('/zfs/objectset.py', 'get_dnode', 'offset')
407 ('/zfs/objectset.py', 'get_dnode', 'dn')
408 ('/zfs/objectset.py', 'get_dnode', 'get_dnode_ret')
409 ('/zfs/objectset.py', 'parse_dnode', 'index')
410 ('/zfs/objectset.py', 'parse_dnode', 'self')
411 ('/zfs/objectset.py', 'parse_dnode', 'dnode')
412 ('/zfs/objectset.py', 'parse_dnode', 'nt')
413 ('/zfs/objectset.py', 'parse_dnode', 'parse_dnode_ret')
414 ('/zfs/objectset.py', 'parse_dnode', 'ds')
415 ('/zfs/objectset.py', 'read_default', 'self')
416 ('/zfs/objectset.py', 'read_default', 'dnode')
417 ('/zfs/objectset.py', 'read_default', 'read_default_ret')
418 ('/zfs/objectset.py', 'read_none', 'self')
419 ('/zfs/objectset.py', 'read_none', 'dnode')
420 ('/zfs/objectset.py', 'read_directory', 'self')
421 ('/zfs/objectset.py', 'read_directory', 'dnode')
422 ('/zfs/objectset.py', 'read_directory', 'entries')
423 ('/zfs/objectset.py', 'read_directory', 'newdir')
424 ('/zfs/objectset.py', 'read_directory', 'read_directory_ret')
425 ('/zfs/objectset.py', 'read_file', 'self')
426 ('/zfs/objectset.py', 'read_file', 'dnode')
427 ('/zfs/objectset.py', 'read_file', 'read_file_ret')
428 ('/zfs/objectset.py', 'read_zap', 'self')
429 ('/zfs/objectset.py', 'read_zap', 'dnode')
430 ('/zfs/objectset.py', 'read_zap', 'raw_zap')
431 ('/zfs/objectset.py', 'read_zap', 'zap')
432 ('/zfs/objectset.py', 'read_zap', 'hdr')
433 ('/zfs/objectset.py', 'read_zap', 'read_zap_ret')
434 ('/zfs/objectset.py', 'read_attr_registration', 'self')
435 ('/zfs/objectset.py', 'read_attr_registration', 'dnode')
436 ('/zfs/objectset.py', 'read_attr_registration', 'data')
437 ('/zfs/objectset.py', 'read_attr_registration', 'ret')
438 ('/zfs/objectset.py', 'read_attr_registration', 'k')
439 ('/zfs/objectset.py', 'read_attr_registration', 'v')
440 ('/zfs/objectset.py', 'read_attr_registration', 'read_attr_registration_ret')
441 ('/zfs/objectset.py', 'read_bpobj', 'self')
442 ('/zfs/objectset.py', 'read_bpobj', 'dnode')
443 ('/zfs/objectset.py', 'read_bpobj', 'hdr')
444 ('/zfs/objectset.py', 'read_bpobj', 'data')
445 ('/zfs/objectset.py', 'read_bpobj', '_')
446 ('/zfs/objectset.py', 'read_bpobj', 'read_bpobj_ret')
447 ('/zfs/objectset.py', 'read_object_array', 'self')
448 ('/zfs/objectset.py', 'read_object_array', 'dnode')
449 ('/zfs/objectset.py', 'read_object_array', 'data')
450 ('/zfs/objectset.py', 'read_object_array', 'length')
451 ('/zfs/objectset.py', 'read_object_array', 'format_code')
452 ('/zfs/objectset.py', 'read_object_array', 'i')
453 ('/zfs/objectset.py', 'read_object_array', 'x')
454 ('/zfs/objectset.py', 'read_object_array', 'read_object_array_ret')
455 ('/zfs/objectset.py', 'read_nvlist', 'self')
456 ('/zfs/objectset.py', 'read_nvlist', 'dnode')
457 ('/zfs/objectset.py', 'read_nvlist', 'nv')
458 ('/zfs/objectset.py', 'read_nvlist', 'nvl')
459 ('/zfs/objectset.py', 'read_nvlist', 'nvdata')
460 ('/zfs/objectset.py', 'read_nvlist', 'read_nvlist_ret')
461 ('/nvlist/__init__.py', 'module_initializer', 'NVAREA')
462 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'UNKNOWN')
463 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'BOOLEAN')
464 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'BYTE')
465 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'INT16')
466 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'UINT16')
467 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'INT32')
468 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'UINT32')
469 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'INT64')
470 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'UINT64')
471 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'STRING')
472 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'BYTE_ARRAY')
473 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'INT16_ARRAY')
474 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'UINT16_ARRAY')
475 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'INT32_ARRAY')
476 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'UINT32_ARRAY')
477 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'INT64_ARRAY')
478 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'UINT64_ARRAY')
479 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'STRING_ARRAY')
480 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'HRTIME')
481 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'NVLIST')
482 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'NVLIST_ARRAY')
483 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'BOOLEAN_VALUE')
484 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'INT8')
485 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'UINT8')
486 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'BOOLEAN_ARRAY')
487 ('/nvlist/__init__.py', 'NVTypes_class_initializer', 'INT8_ARRAY')
488 ('/zfs/objectset.py', 'read_dataset', 'self')
489 ('/zfs/objectset.py', 'read_dataset', 'dnode')
490 ('/zfs/objectset.py', 'read_dataset', 'read_dataset_ret')
491 ('/zfs/objectset.py', 'read_dsldir', 'self')
492 ('/zfs/objectset.py', 'read_dsldir', 'dnode')
493 ('/zfs/objectset.py', 'read_dsldir', 'dsl_dir')
494 ('/zfs/objectset.py', 'read_dsldir', 'read_dsldir_ret')
495 ('/zfs/objectset.py', 'read_history', 'self')
496 ('/zfs/objectset.py', 'read_history', 'dnode')
497 ('/zfs/objectset.py', 'read_history', 'data')
498 ('/zfs/objectset.py', 'read_history', 'history_parser')
499 ('/zfs/objectset.py', 'read_history', 'read_history_ret')
500 ('/zfs/posix/directory.py', '__init__', 'path')
501 ('/zfs/posix/directory.py', '__init__', 'self')
502 ('/zfs/posix/directory.py', '__init__', 'dnode')
503 ('/zfs/posix/directory.py', '__init__', 'entries')
504 ('/zfs/posix/directory.py', '__init__', 'dataset')
505 ('/zfs/posix/directory.py', '__init__', 'objectset')
506 ('/zfs/objectset.py', '_read_fatzap', 'self')
507 ('/zfs/objectset.py', '_read_fatzap', 'raw_fz')
508 ('/zfs/objectset.py', '_read_fatzap', 'data')
509 ('/zfs/objectset.py', '_read_fatzap', '_read_fatzap_ret')
510 ('/zfs/objectset.py', '_read_microzap', 'self')
511 ('/zfs/objectset.py', '_read_microzap', 'dnode')
512 ('/zfs/objectset.py', '_read_microzap', 'hdr')
513 ('/zfs/objectset.py', '_read_microzap', 'zap')
514 ('/zfs/objectset.py', '_read_microzap', 'node_type')
515 ('/zfs/objectset.py', '_read_microzap', 'max_entries')
516 ('/zfs/objectset.py', '_read_microzap', 'mzaps')
517 ('/zfs/objectset.py', '_read_microzap', 'mzap_type')
518 ('/zfs/objectset.py', '_read_microzap', 'z')
519 ('/zfs/objectset.py', '_read_microzap', 'r')
520 ('/zfs/objectset.py', '_read_microzap', '_read_microzap_ret')
521 ('/nvlist/__init__.py', 'unpack_nvlist', 'self')
522 ('/nvlist/__init__.py', 'unpack_nvlist', 'values')
523 ('/nvlist/__init__.py', 'unpack_nvlist', 'name')
524 ('/nvlist/__init__.py', 'unpack_nvlist', 'v')
525 ('/nvlist/__init__.py', 'unpack_nvlist', 'unpack_nvlist_ret')
526 ('/zfs/datasets.py', '__init__', 'path')
527 ('/zfs/datasets.py', '__init__', 'self')
528 ('/zfs/datasets.py', '__init__', 'pool')
529 ('/zfs/datasets.py', '__init__', 'dsl_dir')
530 ('/zfs/datasets.py', '__init__', 'objset')
531 ('/zfs/datasets.py', '__init__', 'dnode')
532 ('/zfs/datasets.py', '__init__', 'objset_block')
533 ('/zfs/history.py', '__init__', 'self')
534 ('/zfs/history.py', '__init__', 'buffer')
535 ('/zfs/history.py', 'unpack_history', 'self')
536 ('/zfs/history.py', 'unpack_history', 'total_length')
537 ('/zfs/history.py', 'unpack_history', 'history')
538 ('/zfs/history.py', 'unpack_history', 'unpack_history_ret')
539 ('/nvlist/__init__.py', 'unpack_value', 'self')
540 ('/nvlist/__init__.py', 'unpack_value', 'name')
541 ('/nvlist/__init__.py', 'unpack_value', 'v')
542 ('/nvlist/__init__.py', 'unpack_value', 'decoded_length')
543 ('/nvlist/__init__.py', 'unpack_value', 'l')
544 ('/nvlist/__init__.py', 'unpack_value', 'value_type')
545 ('/nvlist/__init__.py', 'unpack_value', 'value_count')
546 ('/nvlist/__init__.py', 'unpack_value', 'x')
547 ('/nvlist/__init__.py', 'unpack_value', 'sub')
548 ('/nvlist/__init__.py', 'unpack_value', 'unpack_value_ret')
549 ('/zfs/history.py', 'unpack_nvlist', 'extra')
550 ('/zfs/history.py', 'unpack_nvlist', 'self')
551 ('/zfs/history.py', 'unpack_nvlist', 'values')
552 ('/zfs/history.py', 'unpack_nvlist', 'this_length')
553 ('/zfs/history.py', 'unpack_nvlist', 'unknown2')
554 ('/zfs/history.py', 'unpack_nvlist', 'unknown3')
555 ('/zfs/history.py', 'unpack_nvlist', 'start')
556 ('/zfs/history.py', 'unpack_nvlist', 'end_offset')
557 ('/zfs/history.py', 'unpack_nvlist', 'name')
558 ('/zfs/history.py', 'unpack_nvlist', 'v')
559 ('/zfs/history.py', 'unpack_nvlist', 'unpack_nvlist_ret')
560 ('/zfs/history.py', 'unpack_uhyper', 'self')
561 ('/zfs/history.py', 'unpack_uhyper', 'unpack_uhyper_ret')
562 ('/zfs/history.py', 'unpack_uint', 'self')
563 ('/zfs/history.py', 'unpack_uint', 'unpack_uint_ret')
564 ('/zfs/history.py', 'unpack_value', 'self')
565 ('/zfs/history.py', 'unpack_value', 'pos')
566 ('/zfs/history.py', 'unpack_value', 'total_length')
567 ('/zfs/history.py', 'unpack_value', 'unpack_value_ret')
568 ('/zfs/history.py', 'unpack_value', 'length')
569 ('/zfs/history.py', 'unpack_value', 'value_count')
570 ('/zfs/history.py', 'unpack_value', 'value_type')
571 ('/zfs/history.py', 'unpack_value', 'key')
572 ('/zfs/history.py', 'unpack_value', 'remaining')
573 ('/zfs/history.py', 'unpack_value', 'values')
574 ('/zfs/history.py', 'unpack_value', 'v')
575 ('/zfs/history.py', 'unpack_value', 'value')
576 ('/zfs/history.py', 'unpack_fstring', 'self')
577 ('/zfs/history.py', 'unpack_fstring', 'length')
578 ('/zfs/history.py', 'unpack_fstring', 'total_length')
579 ('/zfs/history.py', 'unpack_fstring', 'unpack_fstring_ret')
580 ('/zfs/history.py', 'next_break_offset', 'x')
581 ('/zfs/history.py', 'next_break_offset', 'next_break_offset_ret')
582 ('/zfs/vdevs.py', '__init__', 'txg')
583 ('/zfs/vdevs.py', '__init__', 'label_index')
584 ('/zfs/vdevs.py', '__init__', 'self')
585 ('/zfs/vdevs.py', '__init__', 'l')
586 ('/zfs/vdevs.py', '__init__', '_')
587 ('/zfs/vdevs.py', '__init__', 'ubers')
588 ('/zfs/vdevs.py', '__init__', 'u')
589 ('/zfs/pool.py', 'vdev_list_to_dict', 'vdevs')
590 ('/zfs/pool.py', 'vdev_list_to_dict', 'd')
591 ('/zfs/pool.py', 'vdev_list_to_dict', 'v')
592 ('/zfs/pool.py', 'vdev_list_to_dict', 'vdev_list_to_dict_ret')
593 ('/zfs/vdevs.py', 'read_label', 'self')
594 ('/zfs/vdevs.py', 'read_label', 'label')
595 ('/zfs/vdevs.py', 'read_label', 'data')
596 ('/zfs/vdevs.py', 'read_label', 'nvdata')
597 ('/zfs/vdevs.py', 'read_label', 'properties')
598 ('/zfs/vdevs.py', 'read_label', 'uberblock_array')
599 ('/zfs/vdevs.py', 'read_label', 'uberblocks')
600 ('/zfs/vdevs.py', 'read_label', 'elem')
601 ('/zfs/vdevs.py', 'read_label', 'this_block')
602 ('/zfs/vdevs.py', 'read_label', 'b')
603 ('/zfs/vdevs.py', 'read_label', 'read_label_ret')
604 ('/zfs/vdevs.py', '_best_label', 'label_index')
605 ('/zfs/vdevs.py', '_best_label', 'self')
606 ('/zfs/vdevs.py', '_best_label', 'retprops')
607 ('/zfs/vdevs.py', '_best_label', 'label')
608 ('/zfs/vdevs.py', '_best_label', 'props')
609 ('/zfs/vdevs.py', '_best_label', 'best_label')
610 ('/zfs/vdevs.py', '_best_label', '_best_label_ret')
611 ('/zfs/vdevs.py', 'parse_uberblocks', 'self')
612 ('/zfs/vdevs.py', 'parse_uberblocks', 'raw_uberblocks')
613 ('/zfs/vdevs.py', 'parse_uberblocks', 'uber_list')
614 ('/zfs/vdevs.py', 'parse_uberblocks', 'parse_uberblocks_ret')
615 ('/zfs/vdevs.py', 'select_uberblock', 'self')
616 ('/zfs/vdevs.py', 'select_uberblock', 'txg')
617 ('/zfs/vdevs.py', 'select_uberblock', 'txgs_available')
618 ('/zfs/vdevs.py', 'select_uberblock', 'x')
619 ('/zfs/vdevs.py', 'select_uberblock', 'candidates')
620 ('/zfs/vdevs.py', 'select_uberblock', 'active_uberblock')
621 ('/zfs/vdevs.py', 'select_uberblock', 'select_uberblock_ret')
622 ('/zfs/util.py', 'module_initializer', 'logger')
623 ('/zfs/util.py', 'module_initializer', 'lz4')
624 ('/zfs/util.py', 'module_initializer', 'counter')
625 ('/zfs/util.py', 'module_initializer', 'ChecksumType')
626 ('/zfs/raidzdev.py', 'module_initializer', 'logger')
627 ('/zfs/datasets.py', 'child_datasets', 'self')
628 ('/zfs/datasets.py', 'child_datasets', 'children')
629 ('/zfs/datasets.py', 'child_datasets', 'child_datasets_ret')
630 ('/zfs/posix/attributes/systemattributes.py', 'no_attrs', 'f')
631 ('/zfs/posix/attributes/systemattributes.py', 'no_attrs', 'inner')
632 ('/zfs/posix/attributes/systemattributes.py', 'no_attrs', 'no_attrs_ret')
633 ('/pyndata/bytestring.py', '__init__', 'self')
634 ('/pyndata/bytestring.py', '__init__', 'length')
635 ('/pyndata/integer.py', '__init__', 'kwargs')
636 ('/pyndata/integer.py', '__init__', 'enum')
637 ('/pyndata/integer.py', '__init__', 'endian')
638 ('/pyndata/integer.py', '__init__', 'self')
639 ('/pyndata/integer.py', '__init__', 'args')
640 ('/pyndata/padding.py', '__init__', 'self')
641 ('/pyndata/padding.py', '__init__', 'length')
642 ('/pyndata/bitfield.py', '__init__', 'enum')
643 ('/pyndata/bitfield.py', '__init__', 'shift')
644 ('/pyndata/bitfield.py', '__init__', 'self')
645 ('/pyndata/bitfield.py', '__init__', 'field')
646 ('/pyndata/bitfield.py', '__init__', 'size')
647 ('/pyndata/array.py', '__init__', 'self')
648 ('/pyndata/array.py', '__init__', 'kind')
649 ('/pyndata/array.py', '__init__', 'length')
650 ('/pyndata/nullstring.py', '__init__', 'encoding')
651 ('/pyndata/nullstring.py', '__init__', 'allow_max')
652 ('/pyndata/nullstring.py', '__init__', 'padded')
653 ('/pyndata/nullstring.py', '__init__', 'self')
654 ('/pyndata/nullstring.py', '__init__', 'max_length')
655 ('/zfs/datasets.py', '__init__', 'entries')
656 ('/zfs/datasets.py', '__init__', 'dataset')
657 ('/zfs/datasets.py', '__init__', 'objectset')
658 ('/pyndata/field.py', '__init__', 'default')
659 ('/pyndata/field.py', '__init__', 'self')
660 ('/pyndata/structfield.py', '__init__', 'self')
661 ('/pyndata/structfield.py', '__init__', 'struct')
662 ('/zfs/datasets.py', 'snapshot_names', 'self')
663 ('/zfs/datasets.py', 'snapshots', 'self')
664 ('/zfs/datasets.py', 'snapshots', 'snapshots')
665 ('/zfs/datasets.py', 'snapshots', 'name')
666 ('/zfs/datasets.py', 'snapshots', 'index')
667 ('/zfs/datasets.py', 'snapshots', 'dsl_dataset')
668 ('/zfs/datasets.py', 'snapshots', 'dataset')
669 ('/zfs/datasets.py', 'snapshots', 'snapshots_ret')
670 ('/zfs/datasets.py', 'entries', 'self')
671 ('/zfs/datasets.py', 'entries', 'd')
672 ('/zfs/datasets.py', 'entries', 'entries_ret')
673 ('/zfs/datasets.py', 'keys', 'self')
674 ('/zfs/datasets.py', 'keys', 'keys_ret')
675 ('/zfs/datasets.py', 'items', 'self')
676 ('/zfs/datasets.py', 'items', 'items_ret')
677 ('/zfs/datasets.py', 'attributes', 'self')
678 ('/zfs/datasets.py', 'attributes', 'key')
679 ('/zfs/datasets.py', 'attributes', 'sa_attrs')
680 ('/zfs/datasets.py', 'attributes', 'registry')
681 ('/zfs/datasets.py', 'attributes', 'layout')
682 ('/zfs/datasets.py', 'attributes', 'attrs')
683 ('/zfs/datasets.py', 'attributes', 'k')
684 ('/zfs/datasets.py', 'attributes', 'attr')
685 ('/zfs/datasets.py', 'attributes', 'x')
686 ('/zfs/datasets.py', 'attributes', 'attributes_ret')
687 ('/zfs/datasets.py', 'root_directory', 'self')
688 ('/zfs/datasets.py', 'root_directory', 'root_dir_index')
689 ('/zfs/datasets.py', 'root_directory', 'root_dir')
690 ('/zfs/datasets.py', 'root_directory', 'root_directory_ret')
691 ('/zfs/readcontext.py', '__init__', 'self')
692 ('/zfs/readcontext.py', '__init__', 'vdevs')
693 ('/zfs/readcontext.py', '__init__', 'compression')
694 ('/zfs/readcontext.py', '__init__', 'checksum')
695 ('/zfs/readcontext.py', '__init__', 'ashift')
696 ('/zfs/readcontext.py', '__init__', 'try_config')
697 ('/zfs/readcontext.py', 'checksum', 'self')
698 ('/zfs/readcontext.py', 'checksum', 'data')
699 ('/zfs/readcontext.py', 'checksum', 'valid')
700 ('/zfs/readcontext.py', 'checksum', 'checksum')
701 ('/zfs/readcontext.py', 'checksum', 'checksum_ret')
702 ('/zfs/readcontext.py', 'decompress', 'self')
703 ('/zfs/readcontext.py', 'decompress', 'data')
704 ('/zfs/readcontext.py', 'decompress', 'compression')
705 ('/zfs/readcontext.py', 'decompress', 'actual_size')
706 ('/zfs/readcontext.py', 'decompress', 'decompress_ret')
707 ('/zfs/readcontext.py', 'update_inherit', 'self')
708 ('/zfs/readcontext.py', 'update_inherit', 'compression')
709 ('/zfs/readcontext.py', 'update_inherit', 'checksum')
710 ('/zfs/readcontext.py', 'read_block', 'dva_offset')
711 ('/zfs/readcontext.py', 'read_block', 'self')
712 ('/zfs/readcontext.py', 'read_block', 'blkptr')
713 ('/zfs/readcontext.py', 'read_block', 'block')
714 ('/zfs/readcontext.py', 'read_block', 'read_block_ret')
715 ('/zfs/readcontext.py', 'read_block', 'valid')
716 ('/zfs/readcontext.py', 'read_block_thorough', 'self')
717 ('/zfs/readcontext.py', 'read_block_thorough', 'blkptr')
718 ('/zfs/readcontext.py', 'read_block_thorough', 'read_block_thorough_ret')
719 ('/zfs/readcontext.py', 'read_block_thorough', 'first_log')
720 ('/zfs/readcontext.py', 'read_block_thorough', 'blocks')
721 ('/zfs/readcontext.py', 'read_block_thorough', 'bad')
722 ('/zfs/readcontext.py', 'read_block_thorough', 'dva')
723 ('/zfs/readcontext.py', 'read_block_thorough', 'block')
724 ('/zfs/readcontext.py', 'read_block_thorough', 'valid')
725 ('/zfs/readcontext.py', 'read_block_thorough', 'b')
726 ('/zfs/readcontext.py', 'read_indirect', 'self')
727 ('/zfs/readcontext.py', 'read_indirect', 'blkptr')
728 ('/zfs/readcontext.py', 'read_indirect', 'resolved')
729 ('/zfs/readcontext.py', 'read_indirect', 'data')
730 ('/zfs/readcontext.py', 'read_indirect', 'indirect')
731 ('/zfs/readcontext.py', 'read_indirect', 'ind')
732 ('/zfs/readcontext.py', 'read_indirect', 'ptr')
733 ('/zfs/readcontext.py', 'read_indirect', 'read_indirect_ret')
734 ('/zfs/readcontext.py', 'read_dnode', 'self')
735 ('/zfs/readcontext.py', 'read_dnode', 'dnode')
736 ('/zfs/readcontext.py', 'read_dnode', 'read_dnode_ret')
737 ('/zfs/readcontext.py', 'context', 'self')
738 ('/zfs/readcontext.py', 'context', 'context_ret')
739 ('/zfs/util.py', 'checksum', 'chk')
740 ('/zfs/util.py', 'checksum', 'inherit')
741 ('/zfs/util.py', 'checksum', 'data')
742 ('/zfs/util.py', 'checksum', 'valid')
743 ('/zfs/util.py', 'checksum', 'mode')
744 ('/zfs/util.py', 'checksum', 'checksum_ret')
745 ('/zfs/util.py', 'decompress', 'inherit')
746 ('/zfs/util.py', 'decompress', 'data')
747 ('/zfs/util.py', 'decompress', 'mode')
748 ('/zfs/util.py', 'decompress', 'size')
749 ('/zfs/util.py', 'decompress', 'decompress_ret')
750 ('/zfs/util.py', 'decompress', 'length')
751 ('/zfs/readcontext.py', '_read_block_embedded', 'self')
752 ('/zfs/readcontext.py', '_read_block_embedded', 'blkptr')
753 ('/zfs/readcontext.py', '_read_block_embedded', 'embedded_blkptr')
754 ('/zfs/readcontext.py', '_read_block_embedded', 'raw_data')
755 ('/zfs/readcontext.py', '_read_block_embedded', 'data')
756 ('/zfs/readcontext.py', '_read_block_embedded', '_read_block_embedded_ret')
757 ('/zfs/readcontext.py', '_read_block', 'self')
758 ('/zfs/readcontext.py', '_read_block', 'blkptr')
759 ('/zfs/readcontext.py', '_read_block', 'dva')
760 ('/zfs/readcontext.py', '_read_block', 'vdev')
761 ('/zfs/readcontext.py', '_read_block', 'data')
762 ('/zfs/readcontext.py', '_read_block', 'physical_size')
763 ('/zfs/readcontext.py', '_read_block', 'valid_chk')
764 ('/zfs/readcontext.py', '_read_block', 'logical_size')
765 ('/zfs/readcontext.py', '_read_block', '_read_block_ret')
766 ('/zfs/ondisk/__init__.py', 'indirect', 'shift')
767 ('/zfs/ondisk/__init__.py', 'indirect', 'size')
768 ('/zfs/ondisk/__init__.py', 'indirect', 'count')
769 ('/zfs/ondisk/__init__.py', 'indirect', '__ENDIAN__')
770 ('/zfs/ondisk/__init__.py', 'indirect', 'blocks')
771 ('/zfs/ondisk/__init__.py', 'indirect', 'indirect_ret')
772 ('/zfs/util.py', 'fletcher4', 'data')
773 ('/zfs/util.py', 'fletcher4', 'mod')
774 ('/zfs/util.py', 'fletcher4', 'a')
